,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
8663,19011500770050,ASP,2019-01-08,RES,blank,2006/11,6.0,501,371,11976,16173,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5484839,19011500770050,A,42.0,1,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 1,新碼頭街GRAND WATERFRONT|Phase|Block1,新碼頭街GRAND WATERFRONT|Phase|Block1|42|A,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣1座,新碼頭街","GRAND WATERFRONT(BLOCK 1),SAN MA TAU ST","GRAND WATERFRONT(Block 1),SAN MA TAU ST|翔龍灣1座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block1|42|Aconsid6.0,42
8666,19012100740042,ASP,2019-01-07,RES,blank,2015/11,5.76,0,332,0,17349,blank,blank,5487698,19012100740042,C,5.0,L1,blank,blank,blank,blank,煥然壹居,MUK CHUI ST,沐翠街,3,blank,KKAI,NKIL6515,||Phase |Block L1,沐翠街|Phase|BlockL1,沐翠街|Phase|BlockL1|5|C,啟德,2015,5,blankblank,3 MUK CHUI ST|沐翠街,3 MUK CHUI ST,3 沐翠街,"第L1座,3 沐翠街","Block L1,3 MUK CHUI ST","Block L1,3 MUK CHUI ST|第L1座,3 沐翠街",MUK CHUI STblankblankblank|Phaseblank|BlockL1|5|Cconsid5.76,5
8667,19012300270032,ASP,2019-01-14,RES,blank,2006/11,6.3,522,387,12069,16279,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5488614,19012300270032,H,37.0,6,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 6,新碼頭街GRAND WATERFRONT|Phase|Block6,新碼頭街GRAND WATERFRONT|Phase|Block6|37|H,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣6座,新碼頭街","GRAND WATERFRONT(BLOCK 6),SAN MA TAU ST","GRAND WATERFRONT(Block 6),SAN MA TAU ST|翔龍灣6座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block6|37|Hconsid6.3,37
8668,19012300910211,ASP,2019-01-07,RES,blank,2017/06,11.0,0,584,0,18836,blank,BAL:21 SF (NI) / ,5488767,19012300910211,A,32.0,T2,blank,blank,blank,ONE KAI TAK (I),啟德1號 (I),MUK NING ST,沐寧街,2,blank,KKAI,NKIL6516,ONE KAI TAK (I)||Phase |Block T2,沐寧街ONE KAI TAK (I)|Phase|BlockT2,沐寧街ONE KAI TAK (I)|Phase|BlockT2|32|A,啟德,2017,3,blankblank,2 MUK NING ST|沐寧街,2 MUK NING ST,2 沐寧街,"啟德1號 (I)T2座,沐寧街","ONE KAI TAK (I)(BLOCK T2),MUK NING ST","ONE KAI TAK (I)(Block T2),MUK NING ST|啟德1號 (I)T2座,沐寧街",MUK NING STONE KAI TAK (I)blankblank|Phaseblank|BlockT2|32|Aconsid11.0,32
8670,19012901580139,ASP,2019-01-14,RES,blank,2017/07,17.0,0,799,0,21277,blank,BAL:25 SF (NI) / ,5491464,19012901580139,G,15.0,T5,blank,blank,blank,ONE KAI TAK (II),啟德1號 (II),MUK NING ST,沐寧街,8,blank,KKAI,NKIL6517,ONE KAI TAK (II)||Phase |Block T5,沐寧街ONE KAI TAK (II)|Phase|BlockT5,沐寧街ONE KAI TAK (II)|Phase|BlockT5|15|G,啟德,2017,3,blankblank,8 MUK NING ST|沐寧街,8 MUK NING ST,8 沐寧街,"啟德1號 (II)T5座,沐寧街","ONE KAI TAK (II)(BLOCK T5),MUK NING ST","ONE KAI TAK (II)(Block T5),MUK NING ST|啟德1號 (II)T5座,沐寧街",MUK NING STONE KAI TAK (II)blankblank|Phaseblank|BlockT5|15|Gconsid17.0,15
8673,19021301650256,ASP,2019-01-24,RES,blank,2018/12,21.328000000000007,0,698,0,30556,blank,BAL:27 SF (NI) / ,5497325,19021301650256,B,29.0,1,blank,blank,blank,OASIS KAI TAK,blank,MUK NING ST,沐寧街,10,blank,KKAI,NKIL6541,OASIS KAI TAK||Phase |Block 1,沐寧街OASIS KAI TAK|Phase|Block1,沐寧街OASIS KAI TAK|Phase|Block1|29|B,啟德,2018,2,blankblank,10 MUK NING ST|沐寧街,10 MUK NING ST,10 沐寧街,"blank1座,沐寧街","OASIS KAI TAK(BLOCK 1),MUK NING ST","OASIS KAI TAK(Block 1),MUK NING ST|blank1座,沐寧街",MUK NING STOASIS KAI TAKblankblank|Phaseblank|Block1|29|Bconsid21.328000000000007,29
8674,19021401460071,ASP,2019-01-02,RES,blank,2018/08,15.0,0,797,0,18821,blank,BAL:24 SF (NI) / UP:16 SF (NI) / ,5498076,19021401460071,D,5.0,8,blank,blank,blank,K. CITY,嘉匯,MUK NING ST,沐寧街,7,blank,KKAI,NKIL6526,K. CITY||Phase |Block 8,沐寧街K. CITY|Phase|Block8,沐寧街K. CITY|Phase|Block8|5|D,啟德,2018,2,blankblank,7 MUK NING ST|沐寧街,7 MUK NING ST,7 沐寧街,"嘉匯8座,沐寧街","K. CITY(BLOCK 8),MUK NING ST","K. CITY(Block 8),MUK NING ST|嘉匯8座,沐寧街",MUK NING STK. CITYblankblank|Phaseblank|Block8|5|Dconsid15.0,5
8675,19021402220050,ASP,2019-01-25,RES,blank,2006/11,6.0,501,371,11976,16173,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5498311,19021402220050,H,29.0,1,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 1,新碼頭街GRAND WATERFRONT|Phase|Block1,新碼頭街GRAND WATERFRONT|Phase|Block1|29|H,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣1座,新碼頭街","GRAND WATERFRONT(BLOCK 1),SAN MA TAU ST","GRAND WATERFRONT(Block 1),SAN MA TAU ST|翔龍灣1座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block1|29|Hconsid6.0,29
8676,19022001120139,ASP,2019-02-14,RES,blank,2006/11,6.38,500,370,12760,17243,blank,BW:22 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5501153,19022001120139,A,21.0,3,blank,blank,blank,GRAND WATERFRONT,翔龍灣,SAN MA TAU ST,新碼頭街,38,blank,KKAI,KML102RP,GRAND WATERFRONT||Phase |Block 3,新碼頭街GRAND WATERFRONT|Phase|Block3,新碼頭街GRAND WATERFRONT|Phase|Block3|21|A,啟德,2006,14,blankblank,38 SAN MA TAU ST|新碼頭街,38 SAN MA TAU ST,38 新碼頭街,"翔龍灣3座,新碼頭街","GRAND WATERFRONT(BLOCK 3),SAN MA TAU ST","GRAND WATERFRONT(Block 3),SAN MA TAU ST|翔龍灣3座,新碼頭街",SAN MA TAU STGRAND WATERFRONTblankblank|Phaseblank|Block3|21|Aconsid6.38,21
8677,19030501460158,ASP,2019-02-25,RES,blank,2018/08,10.418,0,372,0,28005,blank,BAL:22 SF (NI) / ,5506580,19030501460158,G,23.0,1,blank,blank,blank,K. CITY,嘉匯,MUK NING ST,沐寧街,7,blank,KKAI,NKIL6526,K. CITY||Phase |Block 1,沐寧街K. CITY|Phase|Block1,沐寧街K. CITY|Phase|Block1|23|G,啟德,2018,2,blankblank,7 MUK NING ST|沐寧街,7 MUK NING ST,7 沐寧街,"嘉匯1座,沐寧街","K. CITY(BLOCK 1),MUK NING ST","K. CITY(Block 1),MUK NING ST|嘉匯1座,沐寧街",MUK NING STK. CITYblankblank|Phaseblank|Block1|23|Gconsid10.418,23
