,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
42259,19011100460058,ASP,2019-01-04,RES,blank,2000/12,4.38,854,650,5129,6738,blank,blank,5483295,19011100460058,1,39.0,O,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block O,天秀路TIN FU COURT|Phase2|BlockO,天秀路TIN FU COURT|Phase2|BlockO|39|1,天水圍,2000,20,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑O座,天秀路","TIN FU COURT(BLOCK O),TIN SAU RD","TIN FU COURT(Block O),TIN SAU RD|天富苑O座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockO|39|1consid4.38,39
42261,19011101610073,ASP,2019-01-04,RES,blank,1993/09,5.35,701,561,7632,9537,blank,BW:31 SF (GI/NE) / ,5483574,19011101610073,H,3.0,1,blank,CHESTWOOD COURT,翠湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN SHUI RD,天瑞路,8,blank,NTSW,TSWTL3RP,KINGSWOOD VILLAS|CHESTWOOD COURT翠湖居|Phase |Block 1,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block1,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block1|3|H,天水圍,1993,27,CHESTWOOD COURT翠湖居,8 TIN SHUI RD|天瑞路,8 TIN SHUI RD,8 天瑞路,"翠湖居,嘉湖山莊,天瑞路","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD|翠湖居,嘉湖山莊,天瑞路",TIN SHUI RDKINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phaseblank|Block1|3|Hconsid5.35,3
42263,19011401640080,ASP,2019-01-03,RES,blank,2000/03,3.65,710,531,5141,6874,blank,blank,5484321,19011401640080,5,33.0,P,3,CHUNG WA HSE,頌畫閣,TIN CHUNG COURT,天頌苑,TIN WING RD,天榮路,3,blank,NTSW,TSWTL18RP,TIN CHUNG COURT|CHUNG WA HSE頌畫閣|Phase 3|Block P,天榮路TIN CHUNG COURTCHUNG WA HSE頌畫閣|Phase3|BlockP,天榮路TIN CHUNG COURTCHUNG WA HSE頌畫閣|Phase3|BlockP|33|5,天水圍,2000,20,CHUNG WA HSE頌畫閣,3 TIN WING RD|天榮路,3 TIN WING RD,3 天榮路,"頌畫閣,天頌苑,天榮路","CHUNG WA HSE,TIN CHUNG COURT,TIN WING RD","CHUNG WA HSE,TIN CHUNG COURT,TIN WING RD|頌畫閣,天頌苑,天榮路",TIN WING RDTIN CHUNG COURTCHUNG WA HSE頌畫閣|Phase3|BlockP|33|5consid3.65,33
42266,19011401650110,ASP,2019-01-03,RES,blank,2000/03,3.3,710,531,4648,6215,blank,blank,5484325,19011401650110,13,31.0,O,3,CHUNG KI HSE,頌棋閣,TIN CHUNG COURT,天頌苑,TIN WING RD,天榮路,3,blank,NTSW,TSWTL18RP,TIN CHUNG COURT|CHUNG KI HSE頌棋閣|Phase 3|Block O,天榮路TIN CHUNG COURTCHUNG KI HSE頌棋閣|Phase3|BlockO,天榮路TIN CHUNG COURTCHUNG KI HSE頌棋閣|Phase3|BlockO|31|13,天水圍,2000,20,CHUNG KI HSE頌棋閣,3 TIN WING RD|天榮路,3 TIN WING RD,3 天榮路,"頌棋閣,天頌苑,天榮路","CHUNG KI HSE,TIN CHUNG COURT,TIN WING RD","CHUNG KI HSE,TIN CHUNG COURT,TIN WING RD|頌棋閣,天頌苑,天榮路",TIN WING RDTIN CHUNG COURTCHUNG KI HSE頌棋閣|Phase3|BlockO|31|13consid3.3,31
42269,19011600630075,ASP,2019-01-04,RES,blank,2001/03,4.395,854,650,5146,6762,blank,blank,5485422,19011600630075,5,37.0,N,2,blank,blank,TIN FU COURT,天富苑,TIN SAU RD,天秀路,15,blank,NTSW,TSWTL22,TIN FU COURT||Phase 2|Block N,天秀路TIN FU COURT|Phase2|BlockN,天秀路TIN FU COURT|Phase2|BlockN|37|5,天水圍,2001,19,blankblank,15 TIN SAU RD|天秀路,15 TIN SAU RD,15 天秀路,"天富苑N座,天秀路","TIN FU COURT(BLOCK N),TIN SAU RD","TIN FU COURT(Block N),TIN SAU RD|天富苑N座,天秀路",TIN SAU RDTIN FU COURTblankblank|Phase2|BlockN|37|5consid4.395,37
42270,19011700470015,ASP,2019-01-08,RES,blank,2007/11,4.98,648,497,7685,10020,blank,BW:19 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5486095,19011700470015,A,40.0,5,1,blank,blank,CENTRAL PARK TOWERS,柏慧豪園,TIN YAN RD,天恩路,2,blank,NTSW,TSWTL24,CENTRAL PARK TOWERS||Phase 1|Block 5,天恩路CENTRAL PARK TOWERS|Phase1|Block5,天恩路CENTRAL PARK TOWERS|Phase1|Block5|40|A,天水圍,2007,13,blankblank,2 TIN YAN RD|天恩路,2 TIN YAN RD,2 天恩路,"柏慧豪園5座,天恩路","CENTRAL PARK TOWERS(BLOCK 5),TIN YAN RD","CENTRAL PARK TOWERS(Block 5),TIN YAN RD|柏慧豪園5座,天恩路",TIN YAN RDCENTRAL PARK TOWERSblankblank|Phase1|Block5|40|Aconsid4.98,40
42271,19011700470024,ASP,2019-01-10,RES,blank,1991/12,4.75,586,458,8106,10371,blank,BW:38 SF (GI/NE) / ,5486096,19011700470024,E,18.0,6,blank,LOCWOOD COURT,樂湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN WU RD,天湖路,1,blank,NTSW,TSWTL1RP,KINGSWOOD VILLAS|LOCWOOD COURT樂湖居|Phase |Block 6,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block6,天湖路KINGSWOOD VILLASLOCWOOD COURT樂湖居|Phase|Block6|18|E,天水圍,1991,29,LOCWOOD COURT樂湖居,1 TIN WU RD|天湖路,1 TIN WU RD,1 天湖路,"樂湖居,嘉湖山莊,天湖路","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD","LOCWOOD COURT,KINGSWOOD VILLAS,TIN WU RD|樂湖居,嘉湖山莊,天湖路",TIN WU RDKINGSWOOD VILLASLOCWOOD COURT樂湖居|Phaseblank|Block6|18|Econsid4.75,18
42274,19011800500128,ASP,2019-01-08,RES,blank,1999/12,3.78,793,592,4767,6385,blank,BW:6 SF (GI/NE) / ,5486972,19011800500128,10,40.0,M,2,CHUNG CHAK HSE,頌澤閣,TIN CHUNG COURT,天頌苑,TIN WING RD,天榮路,3,blank,NTSW,TSWTL18RP,TIN CHUNG COURT|CHUNG CHAK HSE頌澤閣|Phase 2|Block M,天榮路TIN CHUNG COURTCHUNG CHAK HSE頌澤閣|Phase2|BlockM,天榮路TIN CHUNG COURTCHUNG CHAK HSE頌澤閣|Phase2|BlockM|40|10,天水圍,1999,21,CHUNG CHAK HSE頌澤閣,3 TIN WING RD|天榮路,3 TIN WING RD,3 天榮路,"頌澤閣,天頌苑,天榮路","CHUNG CHAK HSE,TIN CHUNG COURT,TIN WING RD","CHUNG CHAK HSE,TIN CHUNG COURT,TIN WING RD|頌澤閣,天頌苑,天榮路",TIN WING RDTIN CHUNG COURTCHUNG CHAK HSE頌澤閣|Phase2|BlockM|40|10consid3.78,40
42278,19011802440433,ASP,2019-01-07,RES,blank,1992/11,3.38,737,538,4586,6283,blank,blank,5487420,19011802440433,16,28.0,B,2,YAU NING HSE,祐寧閣,TIN YAU COURT,天祐苑,TIN SHING RD,天城路,1,blank,NTSW,TSWTL10RP,TIN YAU COURT|YAU NING HSE祐寧閣|Phase 2|Block B,天城路TIN YAU COURTYAU NING HSE祐寧閣|Phase2|BlockB,天城路TIN YAU COURTYAU NING HSE祐寧閣|Phase2|BlockB|28|16,天水圍,1992,28,YAU NING HSE祐寧閣,1 TIN SHING RD|天城路,1 TIN SHING RD,1 天城路,"祐寧閣,天祐苑,天城路","YAU NING HSE,TIN YAU COURT,TIN SHING RD","YAU NING HSE,TIN YAU COURT,TIN SHING RD|祐寧閣,天祐苑,天城路",TIN SHING RDTIN YAU COURTYAU NING HSE祐寧閣|Phase2|BlockB|28|16consid3.38,28
42279,19012100360015,ASP,2019-01-14,RES,blank,1993/09,5.2,705,557,7376,9336,blank,BW:39 SF (GI/NE) / ,5487615,19012100360015,C,25.0,1,blank,CHESTWOOD COURT,翠湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN SHUI RD,天瑞路,8,blank,NTSW,TSWTL3RP,KINGSWOOD VILLAS|CHESTWOOD COURT翠湖居|Phase |Block 1,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block1,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block1|25|C,天水圍,1993,27,CHESTWOOD COURT翠湖居,8 TIN SHUI RD|天瑞路,8 TIN SHUI RD,8 天瑞路,"翠湖居,嘉湖山莊,天瑞路","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD|翠湖居,嘉湖山莊,天瑞路",TIN SHUI RDKINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phaseblank|Block1|25|Cconsid5.2,25
42280,19012101270048,ASP,2019-01-11,RES,blank,1993/09,5.48,705,557,7773,9838,blank,BW:39 SF (GI/NE) / ,5487766,19012101270048,C,20.0,5,blank,CHESTWOOD COURT,翠湖居,KINGSWOOD VILLAS,嘉湖山莊,TIN SHUI RD,天瑞路,8,blank,NTSW,TSWTL3RP,KINGSWOOD VILLAS|CHESTWOOD COURT翠湖居|Phase |Block 5,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block5,天瑞路KINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phase|Block5|20|C,天水圍,1993,27,CHESTWOOD COURT翠湖居,8 TIN SHUI RD|天瑞路,8 TIN SHUI RD,8 天瑞路,"翠湖居,嘉湖山莊,天瑞路","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD","CHESTWOOD COURT,KINGSWOOD VILLAS,TIN SHUI RD|翠湖居,嘉湖山莊,天瑞路",TIN SHUI RDKINGSWOOD VILLASCHESTWOOD COURT翠湖居|Phaseblank|Block5|20|Cconsid5.48,20
