,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
49306,19011101170103,ASP,2019-01-07,RES,blank,2011/12,21.08,1272,995,16572,21186,blank,BW:23 SF (GI/NE) / BAL:24 SF (GI/NI) / UP:16 SF (GI/NI) / ,5483492,19011101170103,D,35.0,8,blank,blank,blank,IMPERIAL CULLINAN,瓏璽,HOI FAI RD,海輝道,10,blank,KSWK,KIL11146,IMPERIAL CULLINAN||Phase |Block 8,海輝道IMPERIAL CULLINAN|Phase|Block8,海輝道IMPERIAL CULLINAN|Phase|Block8|35|D,荔枝角南/南昌/奧運,2011,9,blankblank,10 HOI FAI RD|海輝道,10 HOI FAI RD,10 海輝道,"瓏璽8座,海輝道","IMPERIAL CULLINAN(BLOCK 8),HOI FAI RD","IMPERIAL CULLINAN(Block 8),HOI FAI RD|瓏璽8座,海輝道",HOI FAI RDIMPERIAL CULLINANblankblank|Phaseblank|Block8|35|Dconsid21.08,35
49312,19011500850020,ASP,2019-01-04,RES,blank,2002/10,20.0,1120,862,17857,23202,blank,BW:45 SF (GI/NE) / FR:325 SF / ,5484851,19011500850020,E,9.0,6,1,blank,blank,SORRENTO,擎天半島,AUSTIN RD W,柯士甸道西,1,blank,KSWK,KIL11080 SITE B,SORRENTO||Phase 1|Block 6,柯士甸道西SORRENTO|Phase1|Block6,柯士甸道西SORRENTO|Phase1|Block6|9|E,荔枝角南/南昌/奧運,2002,18,blankblank,1 AUSTIN RD W|柯士甸道西,1 AUSTIN RD W,1 柯士甸道西,"擎天半島6座,柯士甸道西","SORRENTO(BLOCK 6),AUSTIN RD W","SORRENTO(Block 6),AUSTIN RD W|擎天半島6座,柯士甸道西",AUSTIN RD WSORRENTOblankblank|Phase1|Block6|9|Econsid20.0,9
49316,19011701670011,ASP,2019-01-14,RES,blank,2000/02,15.6,1062,831,14689,18773,blank,BW:23 SF (GI/NE) / ,5486342,19011701670011,C,38.0,6,blank,blank,blank,ISLAND HARBOURVIEW,維港灣,HOI FAI RD,海輝道,11,blank,KSWK,KIL11074,ISLAND HARBOURVIEW||Phase |Block 6,海輝道ISLAND HARBOURVIEW|Phase|Block6,海輝道ISLAND HARBOURVIEW|Phase|Block6|38|C,荔枝角南/南昌/奧運,2000,20,blankblank,11 HOI FAI RD|海輝道,11 HOI FAI RD,11 海輝道,"維港灣6座,海輝道","ISLAND HARBOURVIEW(BLOCK 6),HOI FAI RD","ISLAND HARBOURVIEW(Block 6),HOI FAI RD|維港灣6座,海輝道",HOI FAI RDISLAND HARBOURVIEWblankblank|Phaseblank|Block6|38|Cconsid15.6,38
49317,19011801870118,ASP,2019-01-11,RES,blank,2001/02,12.101,810,607,14940,19936,blank,BW:42 SF (GI/NE) / ,5487525,19011801870118,E,45.0,6,blank,blank,blank,PARK AVENUE,柏景灣,HOI TING RD,海庭道,18,blank,KSWK,KIL11090,PARK AVENUE||Phase |Block 6,海庭道PARK AVENUE|Phase|Block6,海庭道PARK AVENUE|Phase|Block6|45|E,荔枝角南/南昌/奧運,2001,19,blankblank,18 HOI TING RD|海庭道,18 HOI TING RD,18 海庭道,"柏景灣6座,海庭道","PARK AVENUE(BLOCK 6),HOI TING RD","PARK AVENUE(Block 6),HOI TING RD|柏景灣6座,海庭道",HOI TING RDPARK AVENUEblankblank|Phaseblank|Block6|45|Econsid12.101,45
49322,19012102060013,ASP,2019-01-03,RES,blank,2010/09,32.8,1326,1025,24736,32000,blank,BW:36 SF (GI/NE) / BAL:29 SF (GI/NI) / UP:16 SF (GI/NI) / RM:24 SF (GI/NE) / ,5487952,19012102060013,A,63.0,6,blank,blank,blank,THE HERMITAGE,帝峰皇殿,HOI WANG RD,海泓道,1,blank,KSWK,KIL11167 / KIL11168,THE HERMITAGE||Phase |Block 6,海泓道THE HERMITAGE|Phase|Block6,海泓道THE HERMITAGE|Phase|Block6|63|A,荔枝角南/南昌/奧運,2010,10,blankblank,1 HOI WANG RD|海泓道,1 HOI WANG RD,1 海泓道,"帝峰皇殿6座,海泓道","THE HERMITAGE(BLOCK 6),HOI WANG RD","THE HERMITAGE(Block 6),HOI WANG RD|帝峰皇殿6座,海泓道",HOI WANG RDTHE HERMITAGEblankblank|Phaseblank|Block6|63|Aconsid32.8,63
49324,19012201510284,ASP,2019-01-11,RES,blank,2006/09,8.5,617,476,13776,17857,blank,BW:18 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5488371,19012201510284,G,18.0,3,blank,blank,blank,HARBOUR GREEN,君匯港,SHAM MONG RD,深旺道,8,blank,KSWK,KIL11151,HARBOUR GREEN||Phase |Block 3,深旺道HARBOUR GREEN|Phase|Block3,深旺道HARBOUR GREEN|Phase|Block3|18|G,荔枝角南/南昌/奧運,2006,14,blankblank,8 SHAM MONG RD|深旺道,8 SHAM MONG RD,8 深旺道,"君匯港3座,深旺道","HARBOUR GREEN(BLOCK 3),SHAM MONG RD","HARBOUR GREEN(Block 3),SHAM MONG RD|君匯港3座,深旺道",SHAM MONG RDHARBOUR GREENblankblank|Phaseblank|Block3|18|Gconsid8.5,18
49325,19012201830092,ASP,2019-01-09,RES,blank,2006/09,8.88,625,487,14208,18234,blank,BW:13 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5488438,19012201830092,H,33.0,5,blank,blank,blank,HARBOUR GREEN,君匯港,SHAM MONG RD,深旺道,8,blank,KSWK,KIL11151,HARBOUR GREEN||Phase |Block 5,深旺道HARBOUR GREEN|Phase|Block5,深旺道HARBOUR GREEN|Phase|Block5|33|H,荔枝角南/南昌/奧運,2006,14,blankblank,8 SHAM MONG RD|深旺道,8 SHAM MONG RD,8 深旺道,"君匯港5座,深旺道","HARBOUR GREEN(BLOCK 5),SHAM MONG RD","HARBOUR GREEN(Block 5),SHAM MONG RD|君匯港5座,深旺道",SHAM MONG RDHARBOUR GREENblankblank|Phaseblank|Block5|33|Hconsid8.88,33
49326,19012201930063,ASP,2019-01-10,RES,CP,2000/09,22.6,1170,940,19316,24043,blank,BW:40 SF (GE/NE) / ,5488468,19012201930063,A,26.0,3,1,blank,blank,THE WATERFRONT,漾日居,AUSTIN RD W,柯士甸道西,1,blank,KSWK,KIL11080 SITE A,THE WATERFRONT||Phase 1|Block 3,柯士甸道西THE WATERFRONT|Phase1|Block3,柯士甸道西THE WATERFRONT|Phase1|Block3|26|A,荔枝角南/南昌/奧運,2000,20,blankblank,1 AUSTIN RD W|柯士甸道西,1 AUSTIN RD W,1 柯士甸道西,"漾日居3座,柯士甸道西","THE WATERFRONT(BLOCK 3),AUSTIN RD W","THE WATERFRONT(Block 3),AUSTIN RD W|漾日居3座,柯士甸道西",AUSTIN RD WTHE WATERFRONTblankblank|Phase1|Block3|26|Aconsid22.6,26
49327,19012202060013,ASP,2019-01-15,RES,blank,2001/12,18.5,1040,802,17788,23067,blank,BW:25 SF (GI/NE) / ,5488499,19012202060013,C,46.0,2,blank,blank,blank,CENTRAL PARK,帝柏海灣,HOI TING RD,海庭道,18,blank,KSWK,KIL11090,CENTRAL PARK||Phase |Block 2,海庭道CENTRAL PARK|Phase|Block2,海庭道CENTRAL PARK|Phase|Block2|46|C,荔枝角南/南昌/奧運,2001,19,blankblank,18 HOI TING RD|海庭道,18 HOI TING RD,18 海庭道,"帝柏海灣2座,海庭道","CENTRAL PARK(BLOCK 2),HOI TING RD","CENTRAL PARK(Block 2),HOI TING RD|帝柏海灣2座,海庭道",HOI TING RDCENTRAL PARKblankblank|Phaseblank|Block2|46|Cconsid18.5,46
49328,19012300720101,ASP,2019-01-15,RES,blank,2005/02,8.43,696,525,12112,16057,blank,BW:29 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5488727,19012300720101,E,51.0,2,1,blank,blank,THE PACIFICA,宇晴軒,SHAM SHING RD,深盛路,9,blank,KSWK,NKIL6275,THE PACIFICA||Phase 1|Block 2,深盛路THE PACIFICA|Phase1|Block2,深盛路THE PACIFICA|Phase1|Block2|51|E,荔枝角南/南昌/奧運,2005,15,blankblank,9 SHAM SHING RD|深盛路,9 SHAM SHING RD,9 深盛路,"宇晴軒2座,深盛路","THE PACIFICA(BLOCK 2),SHAM SHING RD","THE PACIFICA(Block 2),SHAM SHING RD|宇晴軒2座,深盛路",SHAM SHING RDTHE PACIFICAblankblank|Phase1|Block2|51|Econsid8.43,51
49335,19012401560039,ASP,2019-01-18,RES,blank,2004/04,11.5,978,750,11759,15333,blank,BW:28 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5489582,19012401560039,F,41.0,7,2,blank,blank,BANYAN GDN,泓景臺,LAI CHI KOK RD,荔枝角道,863,blank,KSWK,NKIL6320,BANYAN GDN||Phase 2|Block 7,荔枝角道BANYAN GDN|Phase2|Block7,荔枝角道BANYAN GDN|Phase2|Block7|41|F,荔枝角南/南昌/奧運,2004,16,blankblank,863 LAI CHI KOK RD|荔枝角道,863 LAI CHI KOK RD,863 荔枝角道,"泓景臺7座,荔枝角道","BANYAN GDN(BLOCK 7),LAI CHI KOK RD","BANYAN GDN(Block 7),LAI CHI KOK RD|泓景臺7座,荔枝角道",LAI CHI KOK RDBANYAN GDNblankblank|Phase2|Block7|41|Fconsid11.5,41
