,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
102703,19010901040079,ASP,2019-01-02,RES,blank,1989/03,5.5,569,452,9666,12168,blank,BW:18 SF (GI/NE) / ,5482189,19010901040079,C,34.0,10,blank,HOI SING MANS,海昇閣,RIVIERA GDN,海濱花園,YI LOK ST,怡樂街,2,12,NTW,TWTL303RP,RIVIERA GDN|HOI SING MANS海昇閣|Phase |Block 10,怡樂街RIVIERA GDNHOI SING MANS海昇閣|Phase|Block10,怡樂街RIVIERA GDNHOI SING MANS海昇閣|Phase|Block10|34|C,荃灣,1989,31,HOI SING MANS海昇閣,2-12 YI LOK ST|怡樂街,2-12 YI LOK ST,2-12 怡樂街,"海昇閣,海濱花園,怡樂街","HOI SING MANS,RIVIERA GDN,YI LOK ST","HOI SING MANS,RIVIERA GDN,YI LOK ST|海昇閣,海濱花園,怡樂街",YI LOK STRIVIERA GDNHOI SING MANS海昇閣|Phaseblank|Block10|34|Cconsid5.5,34
102706,19011000550136,ASP,2019-01-08,RES,blank,1984/05,8.3,671,582,12370,14261,blank,blank,5482668,19011000550136,5,25.0,C,blank,blank,blank,LUK YEUNG SUN CHUEN,綠楊新村,WAI TSUEN RD,蕙荃路,22,66,NTW,TWTL256,LUK YEUNG SUN CHUEN||Phase |Block C,蕙荃路LUK YEUNG SUN CHUEN|Phase|BlockC,蕙荃路LUK YEUNG SUN CHUEN|Phase|BlockC|25|5,荃灣,1984,36,blankblank,22-66 WAI TSUEN RD|蕙荃路,22-66 WAI TSUEN RD,22-66 蕙荃路,"綠楊新村C座,蕙荃路","LUK YEUNG SUN CHUEN(BLOCK C),WAI TSUEN RD","LUK YEUNG SUN CHUEN(Block C),WAI TSUEN RD|綠楊新村C座,蕙荃路",WAI TSUEN RDLUK YEUNG SUN CHUENblankblank|Phaseblank|BlockC|25|5consid8.3,25
102712,19011101190049,ASP,2019-01-04,RES,blank,1988/08,8.5,807,677,10533,12555,blank,blank,5483500,19011101190049,G,21.0,5,blank,HOI TAO MANS,海濤閣,RIVIERA GDN,海濱花園,YI HONG ST,怡康街,2,12,NTW,TWTL303RP,RIVIERA GDN|HOI TAO MANS海濤閣|Phase |Block 5,怡康街RIVIERA GDNHOI TAO MANS海濤閣|Phase|Block5,怡康街RIVIERA GDNHOI TAO MANS海濤閣|Phase|Block5|21|G,荃灣,1988,32,HOI TAO MANS海濤閣,2-12 YI HONG ST|怡康街,2-12 YI HONG ST,2-12 怡康街,"海濤閣,海濱花園,怡康街","HOI TAO MANS,RIVIERA GDN,YI HONG ST","HOI TAO MANS,RIVIERA GDN,YI HONG ST|海濤閣,海濱花園,怡康街",YI HONG STRIVIERA GDNHOI TAO MANS海濤閣|Phaseblank|Block5|21|Gconsid8.5,21
102720,19011500220015,ASP,2019-01-04,RES,blank,2000/11,5.8,566,429,10247,13520,blank,BW:30 SF (GI/NE) / ,5484619,19011500220015,8,30.0,A,blank,blank,blank,SERENADE COVE,韻濤居,CASTLE PEAK RD TSUEN WAN,青山公路荃灣段,623,blank,NTW,TWIL17RP&EXT,SERENADE COVE||Phase |Block A,青山公路荃灣段SERENADE COVE|Phase|BlockA,青山公路荃灣段SERENADE COVE|Phase|BlockA|30|8,荃灣,2000,20,blankblank,623 CASTLE PEAK RD TSUEN WAN|青山公路荃灣段,623 CASTLE PEAK RD TSUEN WAN,623 青山公路荃灣段,"韻濤居A座,青山公路荃灣段","SERENADE COVE(BLOCK A),CASTLE PEAK RD TSUEN WAN","SERENADE COVE(Block A),CASTLE PEAK RD TSUEN WAN|韻濤居A座,青山公路荃灣段",CASTLE PEAK RD TSUEN WANSERENADE COVEblankblank|Phaseblank|BlockA|30|8consid5.8,30
102721,19011500330110,ASP,2019-01-08,RES,blank,1989/11,5.3,562,459,9431,11547,blank,BW:15 SF (GI/NE) / ,5484644,19011500330110,E,9.0,15,blank,HOI WAI MANS,海蕙閣,RIVIERA GDN,海濱花園,YI LOK ST,怡樂街,2,12,NTW,TWTL303RP,RIVIERA GDN|HOI WAI MANS海蕙閣|Phase |Block 15,怡樂街RIVIERA GDNHOI WAI MANS海蕙閣|Phase|Block15,怡樂街RIVIERA GDNHOI WAI MANS海蕙閣|Phase|Block15|9|E,荃灣,1989,31,HOI WAI MANS海蕙閣,2-12 YI LOK ST|怡樂街,2-12 YI LOK ST,2-12 怡樂街,"海蕙閣,海濱花園,怡樂街","HOI WAI MANS,RIVIERA GDN,YI LOK ST","HOI WAI MANS,RIVIERA GDN,YI LOK ST|海蕙閣,海濱花園,怡樂街",YI LOK STRIVIERA GDNHOI WAI MANS海蕙閣|Phaseblank|Block15|9|Econsid5.3,9
102723,19011500570367,ASP,2019-01-03,RES,blank,1989/03,5.35,569,452,9402,11836,blank,BW:18 SF (GI/NE) / ,5484704,19011500570367,B,10.0,10,blank,HOI SING MANS,海昇閣,RIVIERA GDN,海濱花園,YI LOK ST,怡樂街,2,12,NTW,TWTL303RP,RIVIERA GDN|HOI SING MANS海昇閣|Phase |Block 10,怡樂街RIVIERA GDNHOI SING MANS海昇閣|Phase|Block10,怡樂街RIVIERA GDNHOI SING MANS海昇閣|Phase|Block10|10|B,荃灣,1989,31,HOI SING MANS海昇閣,2-12 YI LOK ST|怡樂街,2-12 YI LOK ST,2-12 怡樂街,"海昇閣,海濱花園,怡樂街","HOI SING MANS,RIVIERA GDN,YI LOK ST","HOI SING MANS,RIVIERA GDN,YI LOK ST|海昇閣,海濱花園,怡樂街",YI LOK STRIVIERA GDNHOI SING MANS海昇閣|Phaseblank|Block10|10|Bconsid5.35,10
102724,19011500700625,ASP,2019-01-03,RES,blank,2000/11,5.73,589,448,9728,12790,blank,BW:30 SF (GI/NE) / FR:244 SF / ,5484827,19011500700625,1,5.0,C,blank,blank,blank,SERENADE COVE,韻濤居,CASTLE PEAK RD TSUEN WAN,青山公路荃灣段,623,blank,NTW,TWIL17RP&EXT,SERENADE COVE||Phase |Block C,青山公路荃灣段SERENADE COVE|Phase|BlockC,青山公路荃灣段SERENADE COVE|Phase|BlockC|5|1,荃灣,2000,20,blankblank,623 CASTLE PEAK RD TSUEN WAN|青山公路荃灣段,623 CASTLE PEAK RD TSUEN WAN,623 青山公路荃灣段,"韻濤居C座,青山公路荃灣段","SERENADE COVE(BLOCK C),CASTLE PEAK RD TSUEN WAN","SERENADE COVE(Block C),CASTLE PEAK RD TSUEN WAN|韻濤居C座,青山公路荃灣段",CASTLE PEAK RD TSUEN WANSERENADE COVEblankblank|Phaseblank|BlockC|5|1consid5.73,5
102728,19011501790016,ASP,2019-01-08,RES,blank,1989/10,7.0,786,676,8906,10355,blank,BW:9 SF (GI/NE) / ,5485075,19011501790016,A,21.0,9,2,blank,blank,BELVEDERE GDN,麗城花園,CASTLE PEAK RD TSUEN WAN,青山公路荃灣段,620,blank,NTW,TWTL316,BELVEDERE GDN||Phase 2|Block 9,青山公路荃灣段BELVEDERE GDN|Phase2|Block9,青山公路荃灣段BELVEDERE GDN|Phase2|Block9|21|A,荃灣,1989,31,blankblank,620 CASTLE PEAK RD TSUEN WAN|青山公路荃灣段,620 CASTLE PEAK RD TSUEN WAN,620 青山公路荃灣段,"麗城花園9座,青山公路荃灣段","BELVEDERE GDN(BLOCK 9),CASTLE PEAK RD TSUEN WAN","BELVEDERE GDN(Block 9),CASTLE PEAK RD TSUEN WAN|麗城花園9座,青山公路荃灣段",CASTLE PEAK RD TSUEN WANBELVEDERE GDNblankblank|Phase2|Block9|21|Aconsid7.0,21
102730,19011601160049,ASP,2019-01-09,RES,blank,2005/05,10.8,1123,876,9617,12329,blank,BW:29 SF (GI/NE) / BAL:24 SF (GI/NI) / UP:16 SF (GI/NI) / ,5485526,19011601160049,G,41.0,1,3,blank,blank,BELLAGIO,碧堤半島,CASTLE PEAK RD SHAM TSENG,青山公路深井段,33,blank,NTW,DD390LOT269RP,BELLAGIO||Phase 3|Block 1,青山公路深井段BELLAGIO|Phase3|Block1,青山公路深井段BELLAGIO|Phase3|Block1|41|G,荃灣,2005,15,blankblank,33 CASTLE PEAK RD SHAM TSENG|青山公路深井段,33 CASTLE PEAK RD SHAM TSENG,33 青山公路深井段,"碧堤半島1座,青山公路深井段","BELLAGIO(BLOCK 1),CASTLE PEAK RD SHAM TSENG","BELLAGIO(Block 1),CASTLE PEAK RD SHAM TSENG|碧堤半島1座,青山公路深井段",CASTLE PEAK RD SHAM TSENGBELLAGIOblankblank|Phase3|Block1|41|Gconsid10.8,41
102731,19011601800038,ASP,2019-01-07,RES,blank,1982/08,4.63,490,385,9449,12026,blank,BW:22 SF (GI/NE) / ,5485670,19011601800038,G,9.0,14,2,CHENGTU HSE,成都樓,TSUEN WAN CTR,荃灣中心,TSUEN KING CIRT,荃景圍,92,blank,NTW,TWTL220sA,TSUEN WAN CTR|CHENGTU HSE成都樓|Phase 2|Block 14,荃景圍TSUEN WAN CTRCHENGTU HSE成都樓|Phase2|Block14,荃景圍TSUEN WAN CTRCHENGTU HSE成都樓|Phase2|Block14|9|G,荃灣,1982,38,CHENGTU HSE成都樓,92 TSUEN KING CIRT|荃景圍,92 TSUEN KING CIRT,92 荃景圍,"成都樓,荃灣中心,荃景圍","CHENGTU HSE,TSUEN WAN CTR,TSUEN KING CIRT","CHENGTU HSE,TSUEN WAN CTR,TSUEN KING CIRT|成都樓,荃灣中心,荃景圍",TSUEN KING CIRTTSUEN WAN CTRCHENGTU HSE成都樓|Phase2|Block14|9|Gconsid4.63,9
