,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
105467,19011002080014,ASP,2019-01-03,RES,blank,1982/04,6.0,562,450,10676,13333,blank,BW:18 SF (GI/NE) / ,5483078,19011002080014,E,13.0,19,blank,blank,blank,CITY ONE SHATIN,沙田第一城,PAK TAK ST,百得街,4,blank,NST,STTL1sB,CITY ONE SHATIN||Phase |Block 19,百得街CITY ONE SHATIN|Phase|Block19,百得街CITY ONE SHATIN|Phase|Block19|13|E,沙田,1982,38,blankblank,4 PAK TAK ST|百得街,4 PAK TAK ST,4 百得街,"沙田第一城19座,百得街","CITY ONE SHATIN(BLOCK 19),PAK TAK ST","CITY ONE SHATIN(Block 19),PAK TAK ST|沙田第一城19座,百得街",PAK TAK STCITY ONE SHATINblankblank|Phaseblank|Block19|13|Econsid6.0,13,中層,東南,呂字型,基本,單位實用四正 交通方便 配套完善
105479,19011400620154,ASP,2019-01-08,RES,blank,1985/10,4.25,397,282,10705,15071,blank,BW:24 SF (GI/NE) / ,5484116,19011400620154,10,19.0,B,blank,blank,blank,CHUEN FAI CTR,全輝中心,KONG PUI ST,崗背街,9,11,NST,STTL128,CHUEN FAI CTR||Phase |Block B,崗背街CHUEN FAI CTR|Phase|BlockB,崗背街CHUEN FAI CTR|Phase|BlockB|19|10,沙田,1985,35,blankblank,9-11 KONG PUI ST|崗背街,9-11 KONG PUI ST,9-11 崗背街,"全輝中心B座,崗背街","CHUEN FAI CTR(BLOCK B),KONG PUI ST","CHUEN FAI CTR(Block B),KONG PUI ST|全輝中心B座,崗背街",KONG PUI STCHUEN FAI CTRblankblank|Phaseblank|BlockB|19|10consid4.25,19,高層,北,四正,基本,業主減價 上車筍盤 歡迎約睇
105486,19011401590040,ASP,2019-01-08,RES,blank,1996/12,11.88,1127,971,10541,12235,blank,BW:31 SF (GI/NE) / ,5484314,19011401590040,C,12.0,9,blank,blank,blank,ROYAL ASCOT,駿景園,TSUN KING RD,駿景路,1,blank,NST,STTL411,ROYAL ASCOT||Phase |Block 9,駿景路ROYAL ASCOT|Phase|Block9,駿景路ROYAL ASCOT|Phase|Block9|12|C,沙田,1996,24,blankblank,1 TSUN KING RD|駿景路,1 TSUN KING RD,1 駿景路,"駿景園9座,駿景路","ROYAL ASCOT(BLOCK 9),TSUN KING RD","ROYAL ASCOT(Block 9),TSUN KING RD|駿景園9座,駿景路",TSUN KING RDROYAL ASCOTblankblank|Phaseblank|Block9|12|Cconsid11.88,12,低層,東南,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
105487,19011401790149,ASP,2019-01-04,RES,blank,1987/02,4.22,384,305,10990,13836,blank,BW:27 SF (GI/NE) / ,5484377,19011401790149,1,19.0,B,blank,blank,blank,GREEN LEAVES GDN,翠麗花園,YUEN CHAU KOK RD,圓洲角路,15,17,NST,STTL237,GREEN LEAVES GDN||Phase |Block B,圓洲角路GREEN LEAVES GDN|Phase|BlockB,圓洲角路GREEN LEAVES GDN|Phase|BlockB|19|1,沙田,1987,33,blankblank,15-17 YUEN CHAU KOK RD|圓洲角路,15-17 YUEN CHAU KOK RD,15-17 圓洲角路,"翠麗花園B座,圓洲角路","GREEN LEAVES GDN(BLOCK B),YUEN CHAU KOK RD","GREEN LEAVES GDN(Block B),YUEN CHAU KOK RD|翠麗花園B座,圓洲角路",YUEN CHAU KOK RDGREEN LEAVES GDNblankblank|Phaseblank|BlockB|19|1consid4.22,19,中層,東,沒資料,良好,單位實用四正 交通方便 配套完善
105489,19011500600023,ASP,2019-01-04,RES,blank,1986/01,5.06,410,305,12341,16590,blank,BW:22 SF (GI/NE) / ,5484743,19011500600023,G,10.0,52,blank,blank,blank,CITY ONE SHATIN,沙田第一城,NGAN SHING ST,銀城街,5,blank,NST,STTL1sM,CITY ONE SHATIN||Phase |Block 52,銀城街CITY ONE SHATIN|Phase|Block52,銀城街CITY ONE SHATIN|Phase|Block52|10|G,沙田,1986,34,blankblank,5 NGAN SHING ST|銀城街,5 NGAN SHING ST,5 銀城街,"沙田第一城52座,銀城街","CITY ONE SHATIN(BLOCK 52),NGAN SHING ST","CITY ONE SHATIN(Block 52),NGAN SHING ST|沙田第一城52座,銀城街",NGAN SHING STCITY ONE SHATINblankblank|Phaseblank|Block52|10|Gconsid5.06,10,低層,西,四正,有,單位實用四正 交通方便 配套完善
105496,19011601730222,ASP,2019-01-07,RES,blank,2001/04,7.08,944,663,7500,10679,blank,blank,5485654,19011601730222,6,15.0,S,1,blank,blank,YU CHUI COURT,愉翠苑,NGAU PEI SHA ST,牛皮沙街,6,blank,NST,STTL462,YU CHUI COURT||Phase 1|Block S,牛皮沙街YU CHUI COURT|Phase1|BlockS,牛皮沙街YU CHUI COURT|Phase1|BlockS|15|6,沙田,2001,19,blankblank,6 NGAU PEI SHA ST|牛皮沙街,6 NGAU PEI SHA ST,6 牛皮沙街,"愉翠苑S座,牛皮沙街","YU CHUI COURT(BLOCK S),NGAU PEI SHA ST","YU CHUI COURT(Block S),NGAU PEI SHA ST|愉翠苑S座,牛皮沙街",NGAU PEI SHA STYU CHUI COURTblankblank|Phase1|BlockS|15|6consid7.08,15,高層,西南,沒資料,良好,業主減價 上車筍盤 歡迎約睇
105499,19011700210114,ASP,2019-01-10,RES,blank,1985/04,4.753,423,315,11236,15089,blank,BW:32 SF (GI/NE) / ,5486023,19011700210114,H,16.0,blank,blank,SPRINGFIELD GDN,春暉園,blank,blank,YUEN CHAU KOK RD,圓洲角路,11,blank,NST,STTL126,|SPRINGFIELD GDN春暉園|Phase |Block ,圓洲角路SPRINGFIELD GDN春暉園|Phase|Block,圓洲角路SPRINGFIELD GDN春暉園|Phase|Block|16|H,沙田,1985,35,SPRINGFIELD GDN春暉園,11 YUEN CHAU KOK RD|圓洲角路,11 YUEN CHAU KOK RD,11 圓洲角路,"春暉園,圓洲角路","SPRINGFIELD GDN,YUEN CHAU KOK RD","SPRINGFIELD GDN,YUEN CHAU KOK RD|春暉園,圓洲角路",YUEN CHAU KOK RDblankSPRINGFIELD GDN春暉園|Phaseblank|Blockblank|16|Hconsid4.753,16,低層,南,沒資料,基本,單位實用四正 交通方便 配套完善
105500,19011700640026,ASP,2019-01-11,RES,blank,1985/05,4.18,395,285,10582,14667,blank,BW:33 SF (GI/NE) / ,5486162,19011700640026,A,29.0,42,blank,blank,blank,CITY ONE SHATIN,沙田第一城,TAK PO ST,得寶街,1,blank,NST,STTL1sF,CITY ONE SHATIN||Phase |Block 42,得寶街CITY ONE SHATIN|Phase|Block42,得寶街CITY ONE SHATIN|Phase|Block42|29|A,沙田,1985,35,blankblank,1 TAK PO ST|得寶街,1 TAK PO ST,1 得寶街,"沙田第一城42座,得寶街","CITY ONE SHATIN(BLOCK 42),TAK PO ST","CITY ONE SHATIN(Block 42),TAK PO ST|沙田第一城42座,得寶街",TAK PO STCITY ONE SHATINblankblank|Phaseblank|Block42|29|Aconsid4.18,29,高層,北,沒資料,基本,業主減價 上車筍盤 歡迎約睇
105501,19011701120010,ASP,2019-01-04,RES,CP,2009/06,16.28,1542,1145,10558,14218,blank,BW:49 SF (GI/NE) / BAL:30 SF (GI/NI) / UP:16 SF (GI/NI) / RM:42 SF (GI/NE) / ,5486236,19011701120010,C,22.0,1,blank,blank,blank,HILL PARAMOUNT,名家匯,HIN TAI ST,顯泰街,18,blank,NST,STTL539,HILL PARAMOUNT||Phase |Block 1,顯泰街HILL PARAMOUNT|Phase|Block1,顯泰街HILL PARAMOUNT|Phase|Block1|22|C,沙田,2009,11,blankblank,18 HIN TAI ST|顯泰街,18 HIN TAI ST,18 顯泰街,"名家匯1座,顯泰街","HILL PARAMOUNT(BLOCK 1),HIN TAI ST","HILL PARAMOUNT(Block 1),HIN TAI ST|名家匯1座,顯泰街",HIN TAI STHILL PARAMOUNTblankblank|Phaseblank|Block1|22|Cconsid16.28,22,中層,南,呂字型,基本,單位實用四正 交通方便 配套完善
105502,19011701560011,ASP,2019-01-04,RES,blank,2011/12,12.5,994,752,12575,16622,blank,BW:38 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5486327,19011701560011,NC-D,22.0,5,3,blank,盛世,FESTIVAL CITY,名城,MEI TIN RD,美田路,1,blank,NST,STTL529,FESTIVAL CITY|盛世|Phase 3|Block 5,美田路FESTIVAL CITY盛世|Phase3|Block5,美田路FESTIVAL CITY盛世|Phase3|Block5|22|NC-D,沙田,2011,9,blank盛世,1 MEI TIN RD|美田路,1 MEI TIN RD,1 美田路,"名城5座,美田路","FESTIVAL CITY(BLOCK 5),MEI TIN RD","FESTIVAL CITY(Block 5),MEI TIN RD|名城5座,美田路",MEI TIN RDFESTIVAL CITYblank盛世|Phase3|Block5|22|NC-Dconsid12.5,22,中層,西,呂字型,有,業主減價 上車筍盤 歡迎約睇
105504,19011701770015,ASP,2019-01-11,RES,blank,2010/11,10.3,981,741,10499,13900,blank,BW:39 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5486407,19011701770015,SC-A,3.0,3,2,blank,盛薈,FESTIVAL CITY,名城,MEI TIN RD,美田路,1,blank,NST,STTL529,FESTIVAL CITY|盛薈|Phase 2|Block 3,美田路FESTIVAL CITY盛薈|Phase2|Block3,美田路FESTIVAL CITY盛薈|Phase2|Block3|3|SC-A,沙田,2010,10,blank盛薈,1 MEI TIN RD|美田路,1 MEI TIN RD,1 美田路,"名城3座,美田路","FESTIVAL CITY(BLOCK 3),MEI TIN RD","FESTIVAL CITY(Block 3),MEI TIN RD|名城3座,美田路",MEI TIN RDFESTIVAL CITYblank盛薈|Phase2|Block3|3|SC-Aconsid10.3,3,高層,東,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
