,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
15398,19011400920042,ASP,2019-01-04,RES,blank,2017/10,8.3,0,537,0,15456,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5484160,19011400920042,B,2.0,2,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 2,大網仔路THE MEDITERRANEAN|Phase|Block2,大網仔路THE MEDITERRANEAN|Phase|Block2|2|B,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園2座,大網仔路","THE MEDITERRANEAN(BLOCK 2),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 2),TAI MONG TSAI RD|逸瓏園2座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block2|2|Bconsid8.3,2
15402,19012502000074,ASP,2019-01-10,RES,blank,2016/09,20.941,0,1172,0,17868,blank,BAL:39 SF (NI) / UP:19 SF (NI) / ,5490250,19012502000074,C,6.0,5,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 5,清水灣道MOUNT PAVILIA|Phase|Block5,清水灣道MOUNT PAVILIA|Phase|Block5|6|C,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧5座,清水灣道","MOUNT PAVILIA(BLOCK 5),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 5),CLEAR WATER BAY RD|傲瀧5座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block5|6|Cconsid20.941,6
15404,19012801490404,ASP,2019-01-02,RES,blank,2017/10,6.0,0,433,0,13857,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5490884,19012801490404,D,5.0,2,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 2,康村路PARK MEDITERRANEAN|Phase|Block2,康村路PARK MEDITERRANEAN|Phase|Block2|5|D,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯2座,康村路","PARK MEDITERRANEAN(BLOCK 2),HONG TSUEN RD","PARK MEDITERRANEAN(Block 2),HONG TSUEN RD|逸瓏海匯2座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block2|5|Dconsid6.0,5
15407,19020102250032,ASP,2019-01-22,RES,blank,2017/10,21.0504,0,1171,0,17976,blank,BAL:48 SF (NI) / UP:16 SF (NI) / ,5493946,19020102250032,F,1.0,5,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 5,大網仔路THE MEDITERRANEAN|Phase|Block5,大網仔路THE MEDITERRANEAN|Phase|Block5|1|F,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園5座,大網仔路","THE MEDITERRANEAN(BLOCK 5),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 5),TAI MONG TSAI RD|逸瓏園5座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block5|1|Fconsid21.0504,1
15410,19021801830022,ASP,2019-01-31,RES,blank,2016/09,21.556,0,1173,0,18377,blank,BAL:41 SF (NI) / UP:35 SF (NI) / ,5499853,19021801830022,D,6.0,5,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 5,清水灣道MOUNT PAVILIA|Phase|Block5,清水灣道MOUNT PAVILIA|Phase|Block5|6|D,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧5座,清水灣道","MOUNT PAVILIA(BLOCK 5),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 5),CLEAR WATER BAY RD|傲瀧5座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block5|6|Dconsid21.556,6
15412,19022100460093,ASP,2019-02-13,RES,blank,1997/07,3.53,565,432,6248,8171,blank,BW:26 SF (GI/NE) / ,5501636,19022100460093,G,9.0,6,blank,blank,blank,LAKESIDE GDN,翠塘花園,CHUI TONG RD,翠塘路,1,blank,NSK,DD215LOT1126,LAKESIDE GDN||Phase |Block 6,翠塘路LAKESIDE GDN|Phase|Block6,翠塘路LAKESIDE GDN|Phase|Block6|9|G,西貢,1997,23,blankblank,1 CHUI TONG RD|翠塘路,1 CHUI TONG RD,1 翠塘路,"翠塘花園6座,翠塘路","LAKESIDE GDN(BLOCK 6),CHUI TONG RD","LAKESIDE GDN(Block 6),CHUI TONG RD|翠塘花園6座,翠塘路",CHUI TONG RDLAKESIDE GDNblankblank|Phaseblank|Block6|9|Gconsid3.53,9
15414,19022102330131,ASP,2019-02-08,RES,blank,2016/09,32.165,0,1837,0,17510,blank,BAL:74 SF (NI) / UP:29 SF (NI) / ,5502137,19022102330131,A,1.0,15,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 15,清水灣道MOUNT PAVILIA|Phase|Block15,清水灣道MOUNT PAVILIA|Phase|Block15|1|A,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧15座,清水灣道","MOUNT PAVILIA(BLOCK 15),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 15),CLEAR WATER BAY RD|傲瀧15座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block15|1|Aconsid32.165,1
15416,19030401610048,ASP,2019-02-13,RES,blank,2017/10,5.2,0,391,0,13299,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5506275,19030401610048,M,5.0,3,blank,blank,blank,PARK MEDITERRANEAN,逸瓏海匯,HONG TSUEN RD,康村路,9,blank,NSK,DD215LOT1180,PARK MEDITERRANEAN||Phase |Block 3,康村路PARK MEDITERRANEAN|Phase|Block3,康村路PARK MEDITERRANEAN|Phase|Block3|5|M,西貢,2017,3,blankblank,9 HONG TSUEN RD|康村路,9 HONG TSUEN RD,9 康村路,"逸瓏海匯3座,康村路","PARK MEDITERRANEAN(BLOCK 3),HONG TSUEN RD","PARK MEDITERRANEAN(Block 3),HONG TSUEN RD|逸瓏海匯3座,康村路",HONG TSUEN RDPARK MEDITERRANEANblankblank|Phaseblank|Block3|5|Mconsid5.2,5
15417,19030701210135,ASP,2019-02-26,RES,blank,2016/09,33.82,0,1691,0,20000,blank,GDN:282 SF / ,5507423,19030701210135,D,,3,blank,blank,blank,MOUNT PAVILIA,傲瀧,CLEAR WATER BAY RD,清水灣道,663,blank,NSK,DD227LOT898,MOUNT PAVILIA||Phase |Block 3,清水灣道MOUNT PAVILIA|Phase|Block3,清水灣道MOUNT PAVILIA|Phase|Block3|G|D,西貢,2016,4,blankblank,663 CLEAR WATER BAY RD|清水灣道,663 CLEAR WATER BAY RD,663 清水灣道,"傲瀧3座,清水灣道","MOUNT PAVILIA(BLOCK 3),CLEAR WATER BAY RD","MOUNT PAVILIA(Block 3),CLEAR WATER BAY RD|傲瀧3座,清水灣道",CLEAR WATER BAY RDMOUNT PAVILIAblankblank|Phaseblank|Block3|G|Dconsid33.82,G
15421,19031800640120,ASP,2019-03-01,RES,blank,2017/10,12.0561,0,700,0,17223,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5511241,19031800640120,M,6.0,1,blank,blank,blank,THE MEDITERRANEAN,逸瓏園,TAI MONG TSAI RD,大網仔路,8,blank,NSK,DD221LOT1949,THE MEDITERRANEAN||Phase |Block 1,大網仔路THE MEDITERRANEAN|Phase|Block1,大網仔路THE MEDITERRANEAN|Phase|Block1|6|M,西貢,2017,3,blankblank,8 TAI MONG TSAI RD|大網仔路,8 TAI MONG TSAI RD,8 大網仔路,"逸瓏園1座,大網仔路","THE MEDITERRANEAN(BLOCK 1),TAI MONG TSAI RD","THE MEDITERRANEAN(Block 1),TAI MONG TSAI RD|逸瓏園1座,大網仔路",TAI MONG TSAI RDTHE MEDITERRANEANblankblank|Phaseblank|Block1|6|Mconsid12.0561,6
