,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,flLv,orient,layout,finishes,remark
54769,19011100730070,ASP,2019-01-09,RES,blank,1995/06,3.75,748,546,5013,6868,blank,blank,5483390,19011100730070,12,8.0,B,1,KA FAI HSE,嘉輝閣,KA SHING COURT,嘉盛苑,PAK WO RD,百和路,33,blank,NSS,FSSTL118,KA SHING COURT|KA FAI HSE嘉輝閣|Phase 1|Block B,百和路KA SHING COURTKA FAI HSE嘉輝閣|Phase1|BlockB,百和路KA SHING COURTKA FAI HSE嘉輝閣|Phase1|BlockB|8|12,北區,1995,25,KA FAI HSE嘉輝閣,33 PAK WO RD|百和路,33 PAK WO RD,33 百和路,"嘉輝閣,嘉盛苑,百和路","KA FAI HSE,KA SHING COURT,PAK WO RD","KA FAI HSE,KA SHING COURT,PAK WO RD|嘉輝閣,嘉盛苑,百和路",PAK WO RDKA SHING COURTKA FAI HSE嘉輝閣|Phase1|BlockB|8|12consid3.75,8,高層,東南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
54771,19011500571058,ASP,2019-01-04,RES,blank,2006/01,5.7,573,443,9948,12867,blank,BW:16 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5484734,19011500571058,A,13.0,1,blank,blank,blank,NOBLE HILL,皇府山,MA SIK RD,馬適路,38,blank,NSS,FSSTL222,NOBLE HILL||Phase |Block 1,馬適路NOBLE HILL|Phase|Block1,馬適路NOBLE HILL|Phase|Block1|13|A,北區,2006,14,blankblank,38 MA SIK RD|馬適路,38 MA SIK RD,38 馬適路,"皇府山1座,馬適路","NOBLE HILL(BLOCK 1),MA SIK RD","NOBLE HILL(Block 1),MA SIK RD|皇府山1座,馬適路",MA SIK RDNOBLE HILLblankblank|Phaseblank|Block1|13|Aconsid5.7,13,低層,北,四正,基本,業主減價 上車筍盤 歡迎約睇
54772,19011500680041,ASP,2019-01-04,RES,blank,1995/11,4.9,742,541,6604,9057,blank,blank,5484790,19011500680041,8,20.0,A,1,blank,blank,KING SHING COURT,景盛苑,YAT MING RD,一鳴路,8,blank,NSS,FSSTL164,KING SHING COURT||Phase 1|Block A,一鳴路KING SHING COURT|Phase1|BlockA,一鳴路KING SHING COURT|Phase1|BlockA|20|8,北區,1995,25,blankblank,8 YAT MING RD|一鳴路,8 YAT MING RD,8 一鳴路,"景盛苑A座,一鳴路","KING SHING COURT(BLOCK A),YAT MING RD","KING SHING COURT(Block A),YAT MING RD|景盛苑A座,一鳴路",YAT MING RDKING SHING COURTblankblank|Phase1|BlockA|20|8consid4.9,20,低層,東南,四正,良好,單位實用四正 交通方便 配套完善
54774,19011601400024,ASP,2019-01-04,RES,blank,1990/12,5.6229999999999976,652,522,8624,10772,blank,BW:24 SF (GI/NE) / ,5485576,19011601400024,6,17.0,C,1,blank,blank,FANLING CTR,粉嶺中心,SAN WAN RD,新運路,33,blank,NSS,DD51LOT5317,FANLING CTR||Phase 1|Block C,新運路FANLING CTR|Phase1|BlockC,新運路FANLING CTR|Phase1|BlockC|17|6,北區,1990,30,blankblank,33 SAN WAN RD|新運路,33 SAN WAN RD,33 新運路,"粉嶺中心C座,新運路","FANLING CTR(BLOCK C),SAN WAN RD","FANLING CTR(Block C),SAN WAN RD|粉嶺中心C座,新運路",SAN WAN RDFANLING CTRblankblank|Phase1|BlockC|17|6consid5.622999999999998,17,高層,東,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
54777,19011602330124,ASP,2019-01-03,RES,blank,2006/01,6.0,660,507,9091,11834,blank,BW:21 SF (GI/NE) / BAL:21 SF (GI/NI) / UP:16 SF (GI/NI) / ,5485809,19011602330124,D,2.0,8,blank,blank,blank,NOBLE HILL,皇府山,MA SIK RD,馬適路,38,blank,NSS,FSSTL222,NOBLE HILL||Phase |Block 8,馬適路NOBLE HILL|Phase|Block8,馬適路NOBLE HILL|Phase|Block8|2|D,北區,2006,14,blankblank,38 MA SIK RD|馬適路,38 MA SIK RD,38 馬適路,"皇府山8座,馬適路","NOBLE HILL(BLOCK 8),MA SIK RD","NOBLE HILL(Block 8),MA SIK RD|皇府山8座,馬適路",MA SIK RDNOBLE HILLblankblank|Phaseblank|Block8|2|Dconsid6.0,2,中層,東,四正,基本,單位實用四正 交通方便 配套完善
54778,19011602400031,ASP,2019-01-07,RES,blank,1996/02,4.75,820,598,5793,7943,blank,blank,5485837,19011602400031,2,32.0,C,2,YAN KING HSE,欣景閣,KING SHING COURT,景盛苑,YAT MING RD,一鳴路,8,blank,NSS,FSSTL164,KING SHING COURT|YAN KING HSE欣景閣|Phase 2|Block C,一鳴路KING SHING COURTYAN KING HSE欣景閣|Phase2|BlockC,一鳴路KING SHING COURTYAN KING HSE欣景閣|Phase2|BlockC|32|2,北區,1996,24,YAN KING HSE欣景閣,8 YAT MING RD|一鳴路,8 YAT MING RD,8 一鳴路,"欣景閣,景盛苑,一鳴路","YAN KING HSE,KING SHING COURT,YAT MING RD","YAN KING HSE,KING SHING COURT,YAT MING RD|欣景閣,景盛苑,一鳴路",YAT MING RDKING SHING COURTYAN KING HSE欣景閣|Phase2|BlockC|32|2consid4.75,32,高層,東,呂字型,良好,單位實用四正 交通方便 配套完善
54780,19011700240053,ASP,2019-01-10,RES,blank,2006/12,9.8,1319,975,7430,10051,blank,BW:43 SF (GI/NE) / BAL:22 SF (GI/NI) / UP:16 SF (GI/NI) / ,5486029,19011700240053,F,41.0,3,2,blank,blank,ROYAL GREEN,御皇庭,CHING HIU RD,清曉路,18,blank,NSS,FSSTL189,ROYAL GREEN||Phase 2|Block 3,清曉路ROYAL GREEN|Phase2|Block3,清曉路ROYAL GREEN|Phase2|Block3|41|F,北區,2006,14,blankblank,18 CHING HIU RD|清曉路,18 CHING HIU RD,18 清曉路,"御皇庭3座,清曉路","ROYAL GREEN(BLOCK 3),CHING HIU RD","ROYAL GREEN(Block 3),CHING HIU RD|御皇庭3座,清曉路",CHING HIU RDROYAL GREENblankblank|Phase2|Block3|41|Fconsid9.8,41,低層,東北,四正,基本,業主減價 上車筍盤 歡迎約睇
54781,19011700580038,ASP,2019-01-04,RES,blank,2019/05,6.687,0,375,0,17832,blank,BAL:22 SF (NI) / UP:16 SF (NI) / ,5486138,19011700580038,B,2.0,7,blank,blank,blank,EDEN MANOR,高爾夫御苑,CASTLE PEAK RD KWU TUNG,青山公路古洞段,88,blank,NSS,DD92LOT2640,EDEN MANOR||Phase |Block 7,青山公路古洞段EDEN MANOR|Phase|Block7,青山公路古洞段EDEN MANOR|Phase|Block7|2|B,北區,2019,1,blankblank,88 CASTLE PEAK RD KWU TUNG|青山公路古洞段,88 CASTLE PEAK RD KWU TUNG,88 青山公路古洞段,"高爾夫御苑7座,青山公路古洞段","EDEN MANOR(BLOCK 7),CASTLE PEAK RD KWU TUNG","EDEN MANOR(Block 7),CASTLE PEAK RD KWU TUNG|高爾夫御苑7座,青山公路古洞段",CASTLE PEAK RD KWU TUNGEDEN MANORblankblank|Phaseblank|Block7|2|Bconsid6.687,2,中層,東北,沒資料,基本,單位實用四正 交通方便 配套完善
54783,19011701720136,ASP,2019-01-08,RES,blank,1989/11,4.03,546,481,7381,8378,blank,blank,5486356,19011701720136,E,11.0,2,blank,blank,blank,TSUI LAI GDN,翠麗花園,FUNG NAM RD,鳳南路,9,blank,NSS,FSSTL1,TSUI LAI GDN||Phase |Block 2,鳳南路TSUI LAI GDN|Phase|Block2,鳳南路TSUI LAI GDN|Phase|Block2|11|E,北區,1989,31,blankblank,9 FUNG NAM RD|鳳南路,9 FUNG NAM RD,9 鳳南路,"翠麗花園2座,鳳南路","TSUI LAI GDN(BLOCK 2),FUNG NAM RD","TSUI LAI GDN(Block 2),FUNG NAM RD|翠麗花園2座,鳳南路",FUNG NAM RDTSUI LAI GDNblankblank|Phaseblank|Block2|11|Econsid4.03,11,中層,西南,呂字型,良好,單位實用四正 交通方便 配套完善
54786,19011702370434,ASP,2019-01-04,RES,blank,1993/05,5.0,553,399,9042,12531,+PLANTER:9 SF                                                                   ,BW:20 SF (GI/NE) / ,5486644,19011702370434,A,17.0,4,blank,DRAGON COURT,龍騰閣,FANLING TOWN CTR,粉嶺名都,FANLING STATION RD,粉嶺車站路,18,blank,NSS,FSSTL71,FANLING TOWN CTR|DRAGON COURT龍騰閣|Phase |Block 4,粉嶺車站路FANLING TOWN CTRDRAGON COURT龍騰閣|Phase|Block4,粉嶺車站路FANLING TOWN CTRDRAGON COURT龍騰閣|Phase|Block4|17|A,北區,1993,27,DRAGON COURT龍騰閣,18 FANLING STATION RD|粉嶺車站路,18 FANLING STATION RD,18 粉嶺車站路,"龍騰閣,粉嶺名都,粉嶺車站路","DRAGON COURT,FANLING TOWN CTR,FANLING STATION RD","DRAGON COURT,FANLING TOWN CTR,FANLING STATION RD|龍騰閣,粉嶺名都,粉嶺車站路",FANLING STATION RDFANLING TOWN CTRDRAGON COURT龍騰閣|Phaseblank|Block4|17|Aconsid5.0,17,高層,東南,四正,基本,業主減價 上車筍盤 歡迎約睇
