,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy
1361,6892716,ASP,1997-01-03,RES,blank,1982/06,8.6,1610,1360,5342,6324,CPS 311 ON 3/F ,blank,4960957,6892716,E,8.0,blank,blank,WINWAY COURT,永威閣,blank,blank,TAI HANG RD,大坑道,3,blank,HCB,IL6457,|WINWAY COURT永威閣|Phase |Block ,大坑道WINWAY COURT永威閣|Phase|Block,大坑道WINWAY COURT永威閣|Phase|Block|8|E,1982,38,WINWAY COURT永威閣,3 TAI HANG RD|大坑道,3 TAI HANG RD,3 大坑道,"永威閣,大坑道","WINWAY COURT,TAI HANG RD","WINWAY COURT,TAI HANG RD|大坑道永威閣",TAI HANG RDblankWINWAY COURT永威閣|Phaseblank|Blockblank|8|Econsid8.6,8
1366,6894270,ASP,1997-01-07,RES,blank,1993/05,9.9,989,820,10010,12073,blank,blank,4961040,6894270,B,30.0,1,blank,blank,blank,ILLUMINATION TERR,光明臺,TAI HANG RD,大坑道,5,blank,HCB,blank,ILLUMINATION TERR||Phase |Block 1,大坑道ILLUMINATION TERR|Phase|Block1,大坑道ILLUMINATION TERR|Phase|Block1|30|B,1993,27,blankblank,5 TAI HANG RD|大坑道,5 TAI HANG RD,5 大坑道,"光明臺1座,大坑道","ILLUMINATION TERR(BLOCK 1),TAI HANG RD","ILLUMINATION TERR(Block 1),TAI HANG RD|光明臺1座,大坑道",TAI HANG RDILLUMINATION TERRblankblank|Phaseblank|Block1|30|Bconsid9.9,30
1390,6903192,ASP,1997-01-06,RES,blank,1972/09,2.9,550,480,5273,6042,blank,blank,4960255,6903192,P,11.0,blank,blank,CHEE ON BLDG,置安大廈,blank,blank,EAST POINT RD,東角道,24,blank,HCB,blank,|CHEE ON BLDG置安大廈|Phase |Block ,東角道CHEE ON BLDG置安大廈|Phase|Block,東角道CHEE ON BLDG置安大廈|Phase|Block|11|P,1972,48,CHEE ON BLDG置安大廈,24 EAST POINT RD|東角道,24 EAST POINT RD,24 東角道,"置安大廈,東角道","CHEE ON BLDG,EAST POINT RD","CHEE ON BLDG,EAST POINT RD|東角道置安大廈",EAST POINT RDblankCHEE ON BLDG置安大廈|Phaseblank|Blockblank|11|Pconsid2.9,11
1395,6905745,ASP,1997-01-07,RES,blank,1986/07,5.88,886,718,6637,8189,blank,blank,4960723,6905745,F,18.0,2,blank,blank,blank,RONSDALE GDN,龍華花園,TAI HANG DR,大坑徑,25,blank,HCB,blank,RONSDALE GDN||Phase |Block 2,大坑徑RONSDALE GDN|Phase|Block2,大坑徑RONSDALE GDN|Phase|Block2|18|F,1986,34,blankblank,25 TAI HANG DR|大坑徑,25 TAI HANG DR,25 大坑徑,"龍華花園2座,大坑徑","RONSDALE GDN(BLOCK 2),TAI HANG DR","RONSDALE GDN(Block 2),TAI HANG DR|龍華花園2座,大坑徑",TAI HANG DRRONSDALE GDNblankblank|Phaseblank|Block2|18|Fconsid5.88,18
1398,6906996,ASP,1997-01-13,RES,blank,1993/05,7.5,989,820,7583,9146,blank,blank,4961335,6906996,B,11.0,2,blank,blank,blank,ILLUMINATION TERR,光明臺,TAI HANG RD,大坑道,7,blank,HCB,blank,ILLUMINATION TERR||Phase |Block 2,大坑道ILLUMINATION TERR|Phase|Block2,大坑道ILLUMINATION TERR|Phase|Block2|11|B,1993,27,blankblank,7 TAI HANG RD|大坑道,7 TAI HANG RD,7 大坑道,"光明臺2座,大坑道","ILLUMINATION TERR(BLOCK 2),TAI HANG RD","ILLUMINATION TERR(Block 2),TAI HANG RD|光明臺2座,大坑道",TAI HANG RDILLUMINATION TERRblankblank|Phaseblank|Block2|11|Bconsid7.5,11
1402,6907422,ASP,1997-01-03,RES,blank,1993/05,7.95,989,820,8038,9695,GFA INCL BW:45 SF ,blank,4961388,6907422,B,31.0,2,blank,blank,blank,ILLUMINATION TERR,光明臺,TAI HANG RD,大坑道,7,blank,HCB,blank,ILLUMINATION TERR||Phase |Block 2,大坑道ILLUMINATION TERR|Phase|Block2,大坑道ILLUMINATION TERR|Phase|Block2|31|B,1993,27,blankblank,7 TAI HANG RD|大坑道,7 TAI HANG RD,7 大坑道,"光明臺2座,大坑道","ILLUMINATION TERR(BLOCK 2),TAI HANG RD","ILLUMINATION TERR(Block 2),TAI HANG RD|光明臺2座,大坑道",TAI HANG RDILLUMINATION TERRblankblank|Phaseblank|Block2|31|Bconsid7.95,31
1405,6907557,ASP,1997-01-06,RES,blank,1993/05,5.43,696,576,7802,9427,blank,blank,4961397,6907557,F,18.0,1,blank,blank,blank,ILLUMINATION TERR,光明臺,TAI HANG RD,大坑道,5,blank,HCB,blank,ILLUMINATION TERR||Phase |Block 1,大坑道ILLUMINATION TERR|Phase|Block1,大坑道ILLUMINATION TERR|Phase|Block1|18|F,1993,27,blankblank,5 TAI HANG RD|大坑道,5 TAI HANG RD,5 大坑道,"光明臺1座,大坑道","ILLUMINATION TERR(BLOCK 1),TAI HANG RD","ILLUMINATION TERR(Block 1),TAI HANG RD|光明臺1座,大坑道",TAI HANG RDILLUMINATION TERRblankblank|Phaseblank|Block1|18|Fconsid5.43,18
1406,6907614,ASP,1997-01-06,RES,blank,1965/06,4.25,0,804,0,5286,blank,blank,4961409,6907614,B,16.0,blank,blank,HOI TO COURT,海都大廈,blank,blank,GLOUCESTER RD,告士打道,275,blank,HCB,blank,|HOI TO COURT海都大廈|Phase |Block ,告士打道HOI TO COURT海都大廈|Phase|Block,告士打道HOI TO COURT海都大廈|Phase|Block|16|B,1965,55,HOI TO COURT海都大廈,275 GLOUCESTER RD|告士打道,275 GLOUCESTER RD,275 告士打道,"海都大廈,告士打道","HOI TO COURT,GLOUCESTER RD","HOI TO COURT,GLOUCESTER RD|告士打道海都大廈",GLOUCESTER RDblankHOI TO COURT海都大廈|Phaseblank|Blockblank|16|Bconsid4.25,16
1414,6911349,ASP,1997-01-08,RES,blank,1972/09,2.65,550,480,4818,5521,blank,blank,4963569,6911349,P,6.0,blank,blank,CHEE ON BLDG,置安大廈,blank,blank,EAST POINT RD,東角道,24,blank,HCB,blank,|CHEE ON BLDG置安大廈|Phase |Block ,東角道CHEE ON BLDG置安大廈|Phase|Block,東角道CHEE ON BLDG置安大廈|Phase|Block|6|P,1972,48,CHEE ON BLDG置安大廈,24 EAST POINT RD|東角道,24 EAST POINT RD,24 東角道,"置安大廈,東角道","CHEE ON BLDG,EAST POINT RD","CHEE ON BLDG,EAST POINT RD|東角道置安大廈",EAST POINT RDblankCHEE ON BLDG置安大廈|Phaseblank|Blockblank|6|Pconsid2.65,6
1419,6913202,ASP,1997-01-14,RES,blank,1993/05,5.95,696,576,8549,10330,blank,blank,4961772,6913202,F,28.0,1,blank,blank,blank,ILLUMINATION TERR,光明臺,TAI HANG RD,大坑道,5,blank,HCB,blank,ILLUMINATION TERR||Phase |Block 1,大坑道ILLUMINATION TERR|Phase|Block1,大坑道ILLUMINATION TERR|Phase|Block1|28|F,1993,27,blankblank,5 TAI HANG RD|大坑道,5 TAI HANG RD,5 大坑道,"光明臺1座,大坑道","ILLUMINATION TERR(BLOCK 1),TAI HANG RD","ILLUMINATION TERR(Block 1),TAI HANG RD|光明臺1座,大坑道",TAI HANG RDILLUMINATION TERRblankblank|Phaseblank|Block1|28|Fconsid5.95,28
