,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
22523,19112700280015,ASP,2019-11-13,RES,blank,1964/02,2.38,0,193,0,12332,blank,blank,5645688,19112700280015,8B,1.0,blank,blank,WAH TAK BLDG,華德大廈,blank,blank,WATERLOO RD,窩打老道,1A,1J,KYMT,KIL7305RP,|WAH TAK BLDG華德大廈|Phase |Block ,窩打老道WAH TAK BLDG華德大廈|Phase|Block,窩打老道WAH TAK BLDG華德大廈|Phase|Block|1|8B,油麻地/京士柏,1964,56,WAH TAK BLDG華德大廈,1A-1J WATERLOO RD|窩打老道,1A-1J WATERLOO RD,1A-1J 窩打老道,"華德大廈,窩打老道","WAH TAK BLDG,WATERLOO RD","WAH TAK BLDG,WATERLOO RD|華德大廈,窩打老道",WATERLOO RDblankWAH TAK BLDG華德大廈|Phaseblank|Blockblank|1|8Bconsid2.38,1,高,中層,西南,沒資料,良好,單位實用四正 交通方便 配套完善
22422,19082201090073,ASP,2019-08-16,RES,blank,1966/09,2.39,0,305,0,7836,blank,blank,5602470,19082201090073,C,6.0,blank,blank,WING ON BLDG,永安樓,blank,blank,SHANGHAI ST,上海街,208,212,KYMT,KIL6579,|WING ON BLDG永安樓|Phase |Block ,上海街WING ON BLDG永安樓|Phase|Block,上海街WING ON BLDG永安樓|Phase|Block|6|C,油麻地/京士柏,1966,54,WING ON BLDG永安樓,208-212 SHANGHAI ST|上海街,208-212 SHANGHAI ST,208-212 上海街,"永安樓,上海街","WING ON BLDG,SHANGHAI ST","WING ON BLDG,SHANGHAI ST|永安樓,上海街",SHANGHAI STblankWING ON BLDG永安樓|Phaseblank|Blockblank|6|Cconsid2.39,6,近乎零,中層,北,四正,有,業主減價 上車筍盤 歡迎約睇
22515,19112001520024,ASP,2019-11-06,RES,blank,1964/02,2.4,0,195,0,12308,blank,blank,5642202,19112001520024,7B,11.0,blank,blank,WAH TAK BLDG,華德大廈,blank,blank,WATERLOO RD,窩打老道,1A,1J,KYMT,KIL7305RP,|WAH TAK BLDG華德大廈|Phase |Block ,窩打老道WAH TAK BLDG華德大廈|Phase|Block,窩打老道WAH TAK BLDG華德大廈|Phase|Block|11|7B,油麻地/京士柏,1964,56,WAH TAK BLDG華德大廈,1A-1J WATERLOO RD|窩打老道,1A-1J WATERLOO RD,1A-1J 窩打老道,"華德大廈,窩打老道","WAH TAK BLDG,WATERLOO RD","WAH TAK BLDG,WATERLOO RD|華德大廈,窩打老道",WATERLOO RDblankWAH TAK BLDG華德大廈|Phaseblank|Blockblank|11|7Bconsid2.4,11,高,低層,西北,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
22350,19071500450220,ASP,2019-06-21,RES,blank,1988/12,2.418,241,175,10033,13817,blank,RF:178 SF / ,5581003,19071500450220,C,5.0,blank,blank,FUNG SHING COURT,豐盛閣,blank,blank,SHANGHAI ST,上海街,298,300,KYMT,KIL8067 / KIL8146,|FUNG SHING COURT豐盛閣|Phase |Block ,上海街FUNG SHING COURT豐盛閣|Phase|Block,上海街FUNG SHING COURT豐盛閣|Phase|Block|5|C,油麻地/京士柏,1988,32,FUNG SHING COURT豐盛閣,298-300 SHANGHAI ST|上海街,298-300 SHANGHAI ST,298-300 上海街,"豐盛閣,上海街","FUNG SHING COURT,SHANGHAI ST","FUNG SHING COURT,SHANGHAI ST|豐盛閣,上海街",SHANGHAI STblankFUNG SHING COURT豐盛閣|Phaseblank|Blockblank|5|Cconsid2.418,5,低,低層,南,呂字型,有,業主減價 上車筍盤 歡迎約睇
22381,19073001090011,ASP,2019-07-05,RES,blank,1964/06,2.4558,0,367,0,6692,blank,blank,5589987,19073001090011,blank,2.0,blank,blank,blank,blank,blank,blank,SHANGHAI ST,上海街,405,blank,KYMT,KIL1175sE,||Phase |Block ,上海街|Phase|Block,上海街|Phase|Block|2|,油麻地/京士柏,1964,56,blankblank,405 SHANGHAI ST|上海街,405 SHANGHAI ST,405 上海街,405 上海街,405 SHANGHAI ST,405 SHANGHAI ST|上海街,SHANGHAI STblankblankblank|Phaseblank|Blockblank|2|blankconsid2.4558,2,高,中層,西,四正,有,業主減價 上車筍盤 歡迎約睇
22133,19041801880074,ASP,2019-03-26,RES,blank,1962/04,2.48,0,316,0,7848,blank,blank,5529315,19041801880074,C,5.0,blank,blank,blank,blank,blank,blank,RECLAMATION ST,新填地街,222,226,KYMT,KIL7586,||Phase |Block ,新填地街|Phase|Block,新填地街|Phase|Block|5|C,油麻地/京士柏,1962,58,blankblank,222-226 RECLAMATION ST|新填地街,222-226 RECLAMATION ST,222-226 新填地街,222-226 新填地街,222-226 RECLAMATION ST,222-226 RECLAMATION ST|新填地街,RECLAMATION STblankblankblank|Phaseblank|Blockblank|5|Cconsid2.48,5,高,中層,北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
22756,20052701220122,ASP,2020-05-04,RES,blank,1977/07,2.5,328,245,7622,10204,blank,blank,5712992,20052701220122,B,11.0,blank,blank,DICKSON BLDG,德昇大廈,blank,blank,CANTON RD,廣東道,626,blank,KYMT,KIL1595RP / KIL1576RP /,|DICKSON BLDG德昇大廈|Phase |Block ,廣東道DICKSON BLDG德昇大廈|Phase|Block,廣東道DICKSON BLDG德昇大廈|Phase|Block|11|B,油麻地/京士柏,1977,43,DICKSON BLDG德昇大廈,626 CANTON RD|廣東道,626 CANTON RD,626 廣東道,"德昇大廈,廣東道","DICKSON BLDG,CANTON RD","DICKSON BLDG,CANTON RD|德昇大廈,廣東道",CANTON RDblankDICKSON BLDG德昇大廈|Phaseblank|Blockblank|11|Bconsid2.5,11,低,高層,南,呂字型,有,單位實用四正 交通方便 配套完善
22109,19041002110050,ASP,2019-03-21,RES,blank,1964/02,2.5,339,244,7375,10246,blank,blank,5523756,19041002110050,2A,9.0,blank,blank,WAH TAK BLDG,華德大廈,blank,blank,WATERLOO RD,窩打老道,1A,1J,KYMT,KIL7305RP,|WAH TAK BLDG華德大廈|Phase |Block ,窩打老道WAH TAK BLDG華德大廈|Phase|Block,窩打老道WAH TAK BLDG華德大廈|Phase|Block|9|2A,油麻地/京士柏,1964,56,WAH TAK BLDG華德大廈,1A-1J WATERLOO RD|窩打老道,1A-1J WATERLOO RD,1A-1J 窩打老道,"華德大廈,窩打老道","WAH TAK BLDG,WATERLOO RD","WAH TAK BLDG,WATERLOO RD|華德大廈,窩打老道",WATERLOO RDblankWAH TAK BLDG華德大廈|Phaseblank|Blockblank|9|2Aconsid2.5,9,高,高層,西,沒資料,良好,業主減價 上車筍盤 歡迎約睇
22628,20022500090068,ASP,2020-02-08,RES,blank,1964/02,2.5,0,231,0,10823,blank,blank,5678121,20022500090068,7A,5.0,blank,blank,WAH TAK BLDG,華德大廈,blank,blank,WATERLOO RD,窩打老道,1A,1J,KYMT,KIL7305RP,|WAH TAK BLDG華德大廈|Phase |Block ,窩打老道WAH TAK BLDG華德大廈|Phase|Block,窩打老道WAH TAK BLDG華德大廈|Phase|Block|5|7A,油麻地/京士柏,1964,56,WAH TAK BLDG華德大廈,1A-1J WATERLOO RD|窩打老道,1A-1J WATERLOO RD,1A-1J 窩打老道,"華德大廈,窩打老道","WAH TAK BLDG,WATERLOO RD","WAH TAK BLDG,WATERLOO RD|華德大廈,窩打老道",WATERLOO RDblankWAH TAK BLDG華德大廈|Phaseblank|Blockblank|5|7Aconsid2.5,5,高,中層,東南,四正,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
22633,20022801600107,ASP,2020-02-04,RES,blank,1967/07,2.565,0,209,0,12273,blank,blank,5679841,20022801600107,D1,7.0,blank,blank,PORTLAND BLDG,砵蘭街大樓,blank,blank,PORTLAND ST,砵蘭街,101,107A,KYMT,KIL9090,|PORTLAND BLDG砵蘭街大樓|Phase |Block ,砵蘭街PORTLAND BLDG砵蘭街大樓|Phase|Block,砵蘭街PORTLAND BLDG砵蘭街大樓|Phase|Block|7|D1,油麻地/京士柏,1967,53,PORTLAND BLDG砵蘭街大樓,101-107A PORTLAND ST|砵蘭街,101-107A PORTLAND ST,101-107A 砵蘭街,"砵蘭街大樓,砵蘭街","PORTLAND BLDG,PORTLAND ST","PORTLAND BLDG,PORTLAND ST|砵蘭街大樓,砵蘭街",PORTLAND STblankPORTLAND BLDG砵蘭街大樓|Phaseblank|Blockblank|7|D1consid2.565,7,中,低層,東,沒資料,基本,單位實用四正 交通方便 配套完善
22245,19052802070018,ASP,2019-05-08,RES,blank,1972/11,2.628,0,271,0,9697,blank,blank,5554382,19052802070018,A,3.0,blank,blank,CHI HING BLDG,志興樓,blank,blank,TEMPLE ST,廟街,148,154,KYMT,KIL6524RP,|CHI HING BLDG志興樓|Phase |Block ,廟街CHI HING BLDG志興樓|Phase|Block,廟街CHI HING BLDG志興樓|Phase|Block|3|A,油麻地/京士柏,1972,48,CHI HING BLDG志興樓,148-154 TEMPLE ST|廟街,148-154 TEMPLE ST,148-154 廟街,"志興樓,廟街","CHI HING BLDG,TEMPLE ST","CHI HING BLDG,TEMPLE ST|志興樓,廟街",TEMPLE STblankCHI HING BLDG志興樓|Phaseblank|Blockblank|3|Aconsid2.628,3,中,低層,東,沒資料,有,業主減價 上車筍盤 歡迎約睇
22747,20052000530047,ASP,2020-05-08,RES,blank,1969/10,2.65,0,366,0,7240,blank,blank,5709040,20052000530047,E,6.0,blank,blank,TAI ON HSE,大安樓,blank,blank,CANTON RD,廣東道,820,832,KYMT,KIL8112 / KIL8640RP,|TAI ON HSE大安樓|Phase |Block ,廣東道TAI ON HSE大安樓|Phase|Block,廣東道TAI ON HSE大安樓|Phase|Block|6|E,油麻地/京士柏,1969,51,TAI ON HSE大安樓,820-832 CANTON RD|廣東道,820-832 CANTON RD,820-832 廣東道,"大安樓,廣東道","TAI ON HSE,CANTON RD","TAI ON HSE,CANTON RD|大安樓,廣東道",CANTON RDblankTAI ON HSE大安樓|Phaseblank|Blockblank|6|Econsid2.65,6,中,中層,西南,四正,有,業主減價 上車筍盤 歡迎約睇
22511,19111901380057,ASP,2019-10-29,RES,blank,1967/07,2.7,0,209,0,12919,blank,blank,5641533,19111901380057,A1,6.0,blank,blank,PORTLAND BLDG,砵蘭街大樓,blank,blank,PORTLAND ST,砵蘭街,101,107A,KYMT,KIL9090 / KIL8630 /,|PORTLAND BLDG砵蘭街大樓|Phase |Block ,砵蘭街PORTLAND BLDG砵蘭街大樓|Phase|Block,砵蘭街PORTLAND BLDG砵蘭街大樓|Phase|Block|6|A1,油麻地/京士柏,1967,53,PORTLAND BLDG砵蘭街大樓,101-107A PORTLAND ST|砵蘭街,101-107A PORTLAND ST,101-107A 砵蘭街,"砵蘭街大樓,砵蘭街","PORTLAND BLDG,PORTLAND ST","PORTLAND BLDG,PORTLAND ST|砵蘭街大樓,砵蘭街",PORTLAND STblankPORTLAND BLDG砵蘭街大樓|Phaseblank|Blockblank|6|A1consid2.7,6,中,中層,北,呂字型,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
21995,19012300300080,ASP,2019-01-04,RES,blank,1978/02,2.8,293,213,9556,13146,blank,blank,5488627,19012300300080,A,8.0,blank,blank,TAK LEE BLDG,德利大廈,blank,blank,BATTERY ST,炮台街,10,18,KYMT,KIL9802RP / KIL9843RP /,|TAK LEE BLDG德利大廈|Phase |Block ,炮台街TAK LEE BLDG德利大廈|Phase|Block,炮台街TAK LEE BLDG德利大廈|Phase|Block|8|A,油麻地/京士柏,1978,42,TAK LEE BLDG德利大廈,10-18 BATTERY ST|炮台街,10-18 BATTERY ST,10-18 炮台街,"德利大廈,炮台街","TAK LEE BLDG,BATTERY ST","TAK LEE BLDG,BATTERY ST|德利大廈,炮台街",BATTERY STblankTAK LEE BLDG德利大廈|Phaseblank|Blockblank|8|Aconsid2.8,8,低,低層,東南,沒資料,基本,單位實用四正 交通方便 配套完善
22171,19050600530055,ASP,2019-04-10,RES,blank,1997/02,2.8,329,194,8511,14433,blank,BW:7 SF (GI/NE) / ,5537079,19050600530055,A,4.0,blank,blank,CHEE SING BLDG,時勝大廈,blank,blank,TEMPLE ST,廟街,123,blank,KYMT,KIL7879 / KIL7322/KIL6600,|CHEE SING BLDG時勝大廈|Phase |Block ,廟街CHEE SING BLDG時勝大廈|Phase|Block,廟街CHEE SING BLDG時勝大廈|Phase|Block|4|A,油麻地/京士柏,1997,23,CHEE SING BLDG時勝大廈,123 TEMPLE ST|廟街,123 TEMPLE ST,123 廟街,"時勝大廈,廟街","CHEE SING BLDG,TEMPLE ST","CHEE SING BLDG,TEMPLE ST|時勝大廈,廟街",TEMPLE STblankCHEE SING BLDG時勝大廈|Phaseblank|Blockblank|4|Aconsid2.8,4,很低,低層,西北,沒資料,基本,業主減價 上車筍盤 歡迎約睇
