,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
1627,19040800960219,ASP,2019-04-01,RES,blank,1969/10,3.2,0,249,0,12851,RF,blank,5522266,19040800960219,F.P.,2.0,blank,blank,blank,blank,blank,blank,STANLEY MARKET RD,赤柱市場道,12,blank,HSL,STIL33,||Phase |Block ,赤柱市場道|Phase|Block,赤柱市場道|Phase|Block|2|F.P.,赤柱,1969,51,blankblank,12 STANLEY MARKET RD|赤柱市場道,12 STANLEY MARKET RD,12 赤柱市場道,12 赤柱市場道,12 STANLEY MARKET RD,12 STANLEY MARKET RD|赤柱市場道,STANLEY MARKET RDblankblankblank|Phaseblank|Blockblank|2|F.P.consid3.2,2,中,中層,西南,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
1659,20020701080096,ASP,2020-01-31,RES,blank,2000/08,3.65,283,214,12898,17056,blank,blank,5671309,20020701080096,14,3.0,D,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block D,環角道LUNG TAK COURT|Phase|BlockD,環角道LUNG TAK COURT|Phase|BlockD|3|14,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑D座,環角道","LUNG TAK COURT(BLOCK D),CAPE RD","LUNG TAK COURT(Block D),CAPE RD|龍德苑D座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockD|3|14consid3.65,3,很低,高層,南,沒資料,基本,單位實用四正 交通方便 配套完善
1672,20052700300054,ASP,2020-05-14,RES,blank,2000/08,3.7,283,214,13074,17290,blank,blank,5712655,20052700300054,21,3.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|3|21,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|3|21consid3.7,3,很低,中層,東,沒資料,有,業主減價 上車筍盤 歡迎約睇
1629,19050301170286,ASP,2019-04-17,RES,blank,2000/08,3.75,283,214,13251,17523,blank,blank,5536276,19050301170286,34,3.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|3|34,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|3|34consid3.75,3,很低,高層,西南,呂字型,有,業主減價 上車筍盤 歡迎約睇
1668,20042200170072,ASP,2020-03-26,RES,blank,1978/02,3.8,0,322,0,11801,+F/R ,blank,5698691,20042200170072,B,1.0,blank,blank,YAU SHING LAU,友誠樓,blank,blank,STANLEY MAIN ST,赤柱大街,52,56,HSL,STL441 / STL440 / STL439,|YAU SHING LAU友誠樓|Phase |Block ,赤柱大街YAU SHING LAU友誠樓|Phase|Block,赤柱大街YAU SHING LAU友誠樓|Phase|Block|1|B,赤柱,1978,42,YAU SHING LAU友誠樓,52-56 STANLEY MAIN ST|赤柱大街,52-56 STANLEY MAIN ST,52-56 赤柱大街,"友誠樓,赤柱大街","YAU SHING LAU,STANLEY MAIN ST","YAU SHING LAU,STANLEY MAIN ST|友誠樓,赤柱大街",STANLEY MAIN STblankYAU SHING LAU友誠樓|Phaseblank|Blockblank|1|Bconsid3.8,1,低,高層,東北,四正,良好,單位實用四正 交通方便 配套完善
1647,19100400430066,ASP,2019-09-26,RES,blank,2000/08,3.8,283,214,13428,17757,blank,blank,5620481,19100400430066,34,2.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|2|34,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|2|34consid3.8,2,很低,低層,西,四正,基本,業主減價 上車筍盤 歡迎約睇
1620,19012200510189,ASP,2019-01-03,RES,blank,2000/08,3.82,559,421,6834,9074,blank,blank,5488167,19012200510189,28,5.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|5|28,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|5|28consid3.82,5,很低,低層,西南,四正,基本,業主減價 上車筍盤 歡迎約睇
1646,19093000400087,ASP,2019-09-18,RES,blank,1979/09,3.9,0,283,0,13781,blank,blank,5618769,19093000400087,blank,3.0,blank,blank,blank,blank,blank,blank,STANLEY MAIN ST,赤柱大街,58,blank,HSL,STL438,||Phase |Block ,赤柱大街|Phase|Block,赤柱大街|Phase|Block|3|,赤柱,1979,41,blankblank,58 STANLEY MAIN ST|赤柱大街,58 STANLEY MAIN ST,58 赤柱大街,58 赤柱大街,58 STANLEY MAIN ST,58 STANLEY MAIN ST|赤柱大街,STANLEY MAIN STblankblankblank|Phaseblank|Blockblank|3|blankconsid3.9,3,低,高層,南,呂字型,良好,業主減價 上車筍盤 歡迎約睇
1625,19032801520036,ASP,2019-03-25,RES,blank,2000/08,4.0,559,421,7156,9501,blank,blank,5517102,19032801520036,32,1.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|1|32,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|1|32consid4.0,1,很低,高層,東,呂字型,良好,單位實用四正 交通方便 配套完善
1644,19092400590024,ASP,2019-09-09,RES,blank,1974/03,4.5,0,304,0,14803,RF,blank,5615795,19092400590024,B,5.0,blank,blank,blank,blank,blank,blank,STANLEY MAIN ST,赤柱大街,18,blank,HSL,STIL51 / STL510RP,||Phase |Block ,赤柱大街|Phase|Block,赤柱大街|Phase|Block|5|B,赤柱,1974,46,blankblank,18 STANLEY MAIN ST|赤柱大街,18 STANLEY MAIN ST,18 赤柱大街,18 赤柱大街,18 STANLEY MAIN ST,18 STANLEY MAIN ST|赤柱大街,STANLEY MAIN STblankblankblank|Phaseblank|Blockblank|5|Bconsid4.5,5,中,低層,南,四正,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
1630,19050901000115,ASP,2019-04-26,RES,blank,2000/08,5.0,698,526,7163,9506,blank,blank,5540321,19050901000115,24,8.0,B,blank,blank,blank,LUNG TAK COURT,龍德苑,CAPE RD,環角道,52,blank,HSL,STIL94,LUNG TAK COURT||Phase |Block B,環角道LUNG TAK COURT|Phase|BlockB,環角道LUNG TAK COURT|Phase|BlockB|8|24,赤柱,2000,20,blankblank,52 CAPE RD|環角道,52 CAPE RD,52 環角道,"龍德苑B座,環角道","LUNG TAK COURT(BLOCK B),CAPE RD","LUNG TAK COURT(Block B),CAPE RD|龍德苑B座,環角道",CAPE RDLUNG TAK COURTblankblank|Phaseblank|BlockB|8|24consid5.0,8,很低,低層,東北,沒資料,基本,業主減價 上車筍盤 歡迎約睇
