,memo_no,nat_instr,instr_date,usage,cp_incl,op_date,consid,gfa,nfa,gpsf,npsf,remark1,remark2,MW_data_code,memo_no.1,unit,floor,block,phase,bldg_name_en,bldg_name_ch,est_name_en,est_name_ch,st_name_en,st_name_ch,st_no_start,st_no_end,d_code,lot_no,bldg_ph_blk,st_bldg_ph_blk,subject_pty,code_chinese,op_year,bldg_age,bldg_name_ench,st_address,st_address_en,st_address_ch,ch_address,en_address,final_address,subject_pty_consid,floor_copy,redev_chance,flLv,orient,layout,finishes,remark
30411,20021200360043,ASP,2020-02-03,RES,blank,1987/06,1.6,413,287,3874,5575,blank,blank,5673154,20021200360043,15,10.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|10|15,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|10|15consid1.6,10,低,低層,北,呂字型,基本,業主減價 上車筍盤 歡迎約睇
29774,19050700580429,ASP,2019-04-18,RES,blank,1987/06,1.628,423,294,3849,5537,blank,blank,5537989,19050700580429,9,26.0,blank,blank,TUNG HING HSE,東興樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG HING HSE東興樓|Phase |Block ,利東村道LEI TUNG ESTTUNG HING HSE東興樓|Phase|Block,利東村道LEI TUNG ESTTUNG HING HSE東興樓|Phase|Block|26|9,香港仔/鴨利洲,1987,33,TUNG HING HSE東興樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東興樓,利東村,利東村道","TUNG HING HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG HING HSE,LEI TUNG EST,LEI TUNG EST RD|東興樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG HING HSE東興樓|Phaseblank|Blockblank|26|9consid1.628,26,低,低層,東北,四正,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
29929,19062100580052,ASP,2019-05-30,RES,blank,1987/06,1.7,0,296,0,5743,blank,blank,5569215,19062100580052,13,4.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|4|13,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|4|13consid1.7,4,低,中層,西,沒資料,有,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
29521,19031800510029,ASP,2019-03-08,RES,blank,1987/06,1.8,0,294,0,6122,blank,blank,5511202,19031800510029,32,35.0,blank,blank,TUNG HING HSE,東興樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG HING HSE東興樓|Phase |Block ,利東村道LEI TUNG ESTTUNG HING HSE東興樓|Phase|Block,利東村道LEI TUNG ESTTUNG HING HSE東興樓|Phase|Block|35|32,香港仔/鴨利洲,1987,33,TUNG HING HSE東興樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東興樓,利東村,利東村道","TUNG HING HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG HING HSE,LEI TUNG EST,LEI TUNG EST RD|東興樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG HING HSE東興樓|Phaseblank|Blockblank|35|32consid1.8,35,低,中層,東,呂字型,基本,業主減價 上車筍盤 歡迎約睇
29730,19042600180137,ASP,2019-04-23,RES,blank,1987/06,1.8,423,294,4255,6122,blank,blank,5532342,19042600180137,9,12.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|12|9,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|12|9consid1.8,12,低,中層,東,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
29609,19040400410049,ASP,2019-03-25,RES,blank,1987/06,1.9,0,287,0,6620,blank,blank,5520708,19040400410049,22,6.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|6|22,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|6|22consid1.9,6,低,高層,南,沒資料,有,單位實用四正 交通方便 配套完善
30144,19100201460127,ASP,2019-09-20,RES,blank,1987/06,1.97,426,296,4624,6655,blank,blank,5619302,19100201460127,7,9.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|9|7,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|9|7consid1.97,9,低,低層,西,呂字型,有,單位實用四正 交通方便 配套完善
30416,20021400380023,ASP,2020-02-06,RES,blank,1987/06,2.0,0,287,0,6969,blank,blank,5674406,20021400380023,34,13.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|13|34,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|13|34consid2.0,13,低,高層,西南,四正,有,單位實用四正 交通方便 配套完善
30397,20020601650046,ASP,2020-01-23,RES,blank,1987/06,2.018,0,287,0,7031,blank,blank,5670832,20020601650046,26,29.0,blank,blank,TUNG HING HSE,東興樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG HING HSE東興樓|Phase |Block ,利東村道LEI TUNG ESTTUNG HING HSE東興樓|Phase|Block,利東村道LEI TUNG ESTTUNG HING HSE東興樓|Phase|Block|29|26,香港仔/鴨利洲,1987,33,TUNG HING HSE東興樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東興樓,利東村,利東村道","TUNG HING HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG HING HSE,LEI TUNG EST,LEI TUNG EST RD|東興樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG HING HSE東興樓|Phaseblank|Blockblank|29|26consid2.018,29,低,低層,北,沒資料,良好,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
29902,19061001620165,ASP,2019-06-03,RES,blank,1987/06,2.05,0,294,0,6973,blank,blank,5562215,19061001620165,20,5.0,blank,blank,TUNG MAU HSE,東茂樓,LEI TUNG EST,利東村,LEI TUNG EST RD,利東村道,5,blank,HA,APLIL133RP,LEI TUNG EST|TUNG MAU HSE東茂樓|Phase |Block ,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block,利東村道LEI TUNG ESTTUNG MAU HSE東茂樓|Phase|Block|5|20,香港仔/鴨利洲,1987,33,TUNG MAU HSE東茂樓,5 LEI TUNG EST RD|利東村道,5 LEI TUNG EST RD,5 利東村道,"東茂樓,利東村,利東村道","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD","TUNG MAU HSE,LEI TUNG EST,LEI TUNG EST RD|東茂樓,利東村,利東村道",LEI TUNG EST RDLEI TUNG ESTTUNG MAU HSE東茂樓|Phaseblank|Blockblank|5|20consid2.05,5,低,低層,北,呂字型,基本,"連租約(生約), 可預約睇樓, 罕有開揚, 交通超級方便"
