,1,2,3,4,5,6,7,8
8.0,7330719,5767022,5846856,7327245,7203918,5678954,6005092,7274556
18.0,7683330,5494226,5968576,7682751,7664223,5423342,6258556,7486470
27.0,8339916,5679670,6065952,8324283,7964724,5649240,6321206,8298807
