,A,B,C,D,E,F,G,H,J,K
4.0,10668,10583,9562,10708,10825,10765,10381,10611,10768,10924
11.0,11006,10919,9816,11053,11170,11065,10727,10948,11100,11274
18.0,11097,11036,10171,11184,11523,11414,11078,11065,11458,11701
