,A01,A02,A03,A05,A06,A07,B01,B02,B03,B05,B06,B07,B08
6.0,230,221,266,411,293,297,229,225,238,223,283,293,297
16.0,230,221,266,411,293,297,229,225,238,223,283,293,297
25.0,230,221,266,411,293,297,229,225,238,223,283,293,297
