,A,B,C,D,E,F,F & G,G,H
9.0,11678,12228,10046,12423,12712,12233,10539,12302,12291
22.0,12618,13495,10990,13311,14106,13567,14259,13638,13619
33.0,13850,14652,15610,14243,15261,14719,15385,13541,14774
