,A01,A02,A03,A05,A06,A07,B01,B02,B03,B05,B06,B06B07B08,B07,B08
20.0,230,222,337,225,324,328,237,227,238,230,332,,324,328
66.0,,,,,,,,,,,,,,
102.0,,,,,,,,,,,,,,
