,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
7.0,8701,8658,9897,8395,8791,9112,8984,8696,8642,8621,8974,8974,9126,9112,8701,9102
20.0,9438,9390,10478,8871,9039,9516,9585,9438,9345,9325,8860,8860,9739,9557,9438,9538
32.0,9909,9808,10616,9300,10018,10376,10318,9913,9920,9709,9956,9956,10471,10095,9909,10134
