,A,AB,B,C,D,E,F,FG,G
8.0,13663,14131,12747,13231,13487,13454,13258,14144,13114
18.0,14284,14871,13341,14128,14230,14087,13934,14884,13767
27.0,14908,15536,13883,14519,14728,14618,14546,15550,14223
