,A,A1,B,C,D,E,F
8.0,7869584,17660885,8143408,7815320,7810440,8264386,7571584
17.0,8404196,18431820,8651149,8148990,8284410,8467238,8023352
26.0,8761905,19159206,9008480,8327720,8464360,8667646,8419350
