,A01,A02,A03,A05,A06,A07,B01,B02,B03,B05,B06,B07,B08
6.0,17326,17875,15535,16703,18251,17691,17185,17020,17279,17762,17756,17748,17618
16.0,17913,18163,16128,17835,18559,18289,17634,17521,17522,18166,17961,18544,17882
25.0,18170,18901,16656,18911,19121,18751,18195,18499,18082,18734,18541,18777,18402
