,A01,A02,A03,A05,A06,A07,A08,B01,B02,B03,B05,B06,B07
6.0,3977730,3901275,4067658,3983003,4824301,4933534,5078700,3790860,3930485,4048786,6866577,4937050,4965246
16.0,3818575,3981375,4281144,3853217,5043343,5153284,5118498,3898040,4024631,4273822,7138659,5146838,5224527
25.0,4068185,4092750,4273052,4277809,5240594,12855040,5402430,4190370,4103528,4363730,7536096,5266968,5310657
