,A01,A02,A03,A05,A06,A07,A08,B01,B02,B03,B05,B06,B07
6.0,17370,17339,17091,17861,17047,16838,17100,16482,17785,15221,16707,16850,16718
16.0,16675,17695,17988,17279,17821,17588,17234,16948,18211,16067,17369,17566,17591
25.0,17765,18190,17954,19183,18518,18260,18190,18219,18568,16405,18336,17976,17881
