,B,C,D,E,F,G,H,J,K
4.0,9841,9822,9841,10562,10274,9841,9917,10188,10384
10.0,10094,10076,10094,10821,10547,10094,10141,10442,10642
16.0,10347,10330,10348,11079,10799,10347,10393,10696,10902
