,A,AB,B,C,D,E,EF,F
6.0,11497746,24370346,10040607,9939600,9907044,10665819,24370346,12616856
16.0,11953278,25572365,10510343,10395000,10069766,10797312,25572365,12422614
26.0,12231330,26736311,10691456,10256400,10791690,10447491,26736311,13005340
