,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
7.0,8860,9863,10115,10506,10506,10821,8834,10031,10021,10021,10506,8312,10773,10679,9922,9783
20.0,8732,10592,11075,10998,10375,11404,9145,9570,11035,11035,10384,8744,11338,10916,9595,9627
32.0,9885,11160,11297,11450,11418,11377,9621,9991,11438,11439,10917,9345,11910,11184,10415,10168
