,A,B,C,D,E,EF,F
6.0,11720582,11299301,10677975,10466246,10693937,23324245,13234092
17.0,12320070,11020602,11146575,10663660,11190137,24473687,13035906
27.0,12463040,10779118,11498025,11117134,11377866,25550609,13477634
