,A01,A02,A03,A05,A06,A07,A08,B01,B02,B03,B05,B06,B07
6.0,229,225,238,223,283,293,297,230,221,266,411,293,297
16.0,229,225,238,223,283,293,297,230,221,266,411,293,297
25.0,229,225,238,223,283,704,297,230,221,266,411,293,297
