,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
22.0/F低層A,22.0,低層,A,28748976,20653,1392,450,3,NMOS
68.0/F中層A,68.0,中層,A,,,,,,NMOS
102.0/F高層A,102.0,高層,A,,,,,,NMOS
22.0/F低層AB,22.0,低層,AB,,,,,,NMOS
68.0/F中層AB,68.0,中層,AB,,,,,,NMOS
102.0/F高層AB,102.0,高層,AB,,,,,,NMOS
22.0/F低層AD,22.0,低層,AD,38600160,20532,1880,209,4,NMOS
68.0/F中層AD,68.0,中層,AD,,,,,,NMOS
102.0/F高層AD,102.0,高層,AD,,,,,,NMOS
22.0/F低層AH,22.0,低層,AH,31405494,19653,1598,267,5,NMOS
68.0/F中層AH,68.0,中層,AH,,,,,,NMOS
102.0/F高層AH,102.0,高層,AH,,,,,,NMOS
22.0/F低層B,22.0,低層,B,16497362,20342,811,408,3,NMOS
68.0/F中層B,68.0,中層,B,76529220,27910,2742,61,1,NMOS
102.0/F高層B,102.0,高層,B,,,,,,NMOS
22.0/F低層C,22.0,低層,C,8399520,17499,480,425,3,NMOS
68.0/F中層C,68.0,中層,C,10106400,21055,480,47,1,NMOS
102.0/F高層C,102.0,高層,C,,,,,,NMOS
22.0/F低層D,22.0,低層,D,8468880,17040,497,406,3,NMOS
68.0/F中層D,68.0,中層,D,,,,,,NMOS
102.0/F高層D,102.0,高層,D,,,,,,NMOS
22.0/F低層E,22.0,低層,E,8699985,17505,497,417,3,NMOS
68.0/F中層E,68.0,中層,E,,,,,,NMOS
102.0/F高層E,102.0,高層,E,,,,,,NMOS
22.0/F低層F,22.0,低層,F,8545927,17767,481,421,3,NMOS
68.0/F中層F,68.0,中層,F,,,,,,NMOS
102.0/F高層F,102.0,高層,F,,,,,,NMOS
22.0/F低層G,22.0,低層,G,9806706,17961,546,420,3,NMOS
68.0/F中層G,68.0,中層,G,,,,,,NMOS
102.0/F高層G,102.0,高層,G,,,,,,NMOS
22.0/F低層H,22.0,低層,H,11166015,19285,579,422,3,NMOS
68.0/F中層H,68.0,中層,H,,,,,,NMOS
102.0/F高層H,102.0,高層,H,,,,,,NMOS
