,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2497487.0,5736.058823529412,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2217446.0,5929.0,374.0,2489858.0,5737.0,434.0,2539240.0,5771.0,440.0,2112167.0,5573.0,379.0,2069342.0,5533.0,374.0,3105780.0,5596.0,555.0,3414360.0000000005,6152.0,555.0,2585292.0,5916.0,437.0,2227424.0,5924.0,376.0,2221919.0,5989.0,371.0,2591847.0,5931.0,437.0,3345539.9999999995,6028.0,555.0,3079140.0,5548.0,555.0,1503072.0,5526.0,272.0,1481292.0,5367.0,276.0,2401080.0,5457.0,440.0,3072479.9999999995,5536.0,555.0,,0.03333213508449018,0.03341458245019058
2022-11-15,2416925.705882353,5550.588235294118,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2146760.0,5740.0,374.0,2410870.0,5555.0,434.0,2447280.0,5562.0,440.0,2045084.0,5396.0,379.0,2003518.0,5357.0,374.0,3006435.0,5417.0,555.0,3305579.9999999995,5956.0,555.0,2503136.0,5728.0,437.0,2156360.0,5735.0,376.0,2151058.0,5798.0,371.0,2509254.0,5742.0,437.0,3238980.0,5836.0,555.0,2980905.0,5371.0,555.0,1449216.0,5328.0,272.0,1434096.0,5196.0,276.0,2324960.0,5284.0,440.0,2974245.0,5359.0,555.0,,-0.05824509882862772,-0.05824583815721185
2022-10-15,2566406.294117647,5893.882352941177,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2279530.0,6095.0,374.0,2559732.0,5898.0,434.0,2598640.0,5906.0,440.0,2171670.0,5730.0,379.0,2127312.0,5688.0,374.0,3192360.0000000005,5752.0,555.0,3509820.0,6324.0,555.0,2657834.0,6082.0,437.0,2289840.0,6090.0,376.0,2283876.0,6156.0,371.0,2664389.0,6097.0,437.0,3439334.9999999995,6197.0,555.0,3165720.0000000005,5704.0,555.0,1538976.0,5658.0,272.0,1522968.0,5518.0,276.0,2468400.0,5610.0,440.0,3158505.0,5691.0,555.0,,0.03210015998781235,0.03209723939019371
2022-9-15,2486586.470588235,5710.588235294118,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2208470.0,5905.0,374.0,2480310.0,5715.0,434.0,2517680.0,5722.0,440.0,2104208.0,5552.0,379.0,2061114.0,5511.0,374.0,3093015.0,5573.0,555.0,3400485.0,6127.0,555.0,2575241.0,5893.0,437.0,2218776.0,5901.0,376.0,2213015.0,5965.0,371.0,2581796.0,5908.0,437.0,3332220.0,6004.0,555.0,3066930.0,5526.0,555.0,1491103.9999999998,5482.0,272.0,1475496.0,5346.0,276.0,2391840.0,5436.0,440.0,3060270.0,5514.0,555.0,,-0.10621118334175383,-0.10620902997716719
2022-8-15,2782073.8235294116,6389.176470588235,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2471018.0,6607.0,374.0,2774995.9999999995,6394.0,434.0,2816880.0,6402.0,440.0,2354348.0,6212.0,379.0,2306084.0,6166.0,374.0,3460424.9999999995,6235.0,555.0,3804525.0,6855.0,555.0,2881141.0000000005,6593.0,437.0,2482352.0,6602.0,376.0,2476054.0,6674.0,371.0,2888570.0,6610.0,437.0,3728490.0,6718.0,555.0,3431565.0,6183.0,555.0,1668176.0,6133.0,272.0,1650756.0,5981.0,276.0,2676080.0,6082.0,440.0,3423795.0,6169.0,555.0,,0.07358626339992203,0.07358828122683381
2022-7-15,2591383.588235294,5951.235294117647,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2301596.0,6154.0,374.0,2584904.0,5956.0,434.0,2624160.0,5964.0,440.0,2192894.0,5786.0,379.0,2148256.0,5744.0,374.0,3223440.0,5808.0,555.0,3543675.0,6385.0,555.0,2683617.0,6141.0,437.0,2312024.0,6149.0,376.0,2306136.0,6216.0,371.0,2690609.0,6157.0,437.0,3472635.0,6257.0,555.0,3196245.0,5759.0,555.0,1553664.0,5712.0,272.0,1537596.0,5571.0,276.0,2493040.0,5666.0,440.0,3189030.0,5746.0,555.0,,-0.005760530936058883,-0.005758817575203801
2022-6-15,2606397.8235294116,5985.705882352941,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2314686.0,6189.0,374.0,2599660.0,5990.0,434.0,2639120.0,5998.0,440.0,2205780.0,5820.0,379.0,2160598.0,5777.0,374.0,3242310.0,5842.0,555.0,3564210.0,6422.0,555.0,2699349.0,6177.0,437.0,2325560.0,6185.0,376.0,2319492.0,6252.0,371.0,2705904.0,6192.0,437.0,3493170.0000000005,6294.0,555.0,3214560.0,5792.0,555.0,1562640.0,5745.0,272.0,1546704.0,5604.0,276.0,2507120.0,5698.0,440.0,3207900.0,5780.0,555.0,,-0.07026449311056415,-0.07026231874788702
2022-5-15,2803375.588235294,6438.058823529412,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2489718.0,6657.0,374.0,2796262.0000000005,6443.0,434.0,2838880.0,6452.0,440.0,2372540.0,6260.0,379.0,2323662.0,6213.0,374.0,3487065.0,6283.0,555.0,3833940.0,6908.0,555.0,2902991.0,6643.0,437.0,2501152.0,6652.0,376.0,2494975.0,6725.0,371.0,2910420.0,6660.0,437.0,3756795.0,6769.0,555.0,3457649.9999999995,6230.0,555.0,1680688.0,6179.0,272.0,1663452.0,6027.0,276.0,2696760.0000000005,6129.0,440.0,3450435.0,6217.0,555.0,,-0.008425083319958282,-0.008847714265014961
2022-4-15,2827194.9411764704,6495.529411764706,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2509166.0,6709.0,374.0,2817962.0,6493.0,434.0,2860440.0,6501.0,440.0,2390732.0,6308.0,379.0,2341614.0,6261.0,374.0,3514260.0,6332.0,555.0,3863355.0,6961.0,555.0,2925715.0,6695.0,437.0,2520704.0,6704.0,376.0,2514267.0,6777.0,371.0,2933144.0,6712.0,437.0,3786210.0,6822.0,555.0,3484290.0,6278.0,555.0,1693471.9999999998,6226.0,272.0,1712027.9999999998,6203.0,276.0,2717880.0,6177.0,440.0,3477075.0,6265.0,555.0,,0.0370117478971046,0.037010602631405876
2022-3-15,2726290.1764705884,6263.705882352941,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2419406.0,6469.0,374.0,2717274.0,6261.0,434.0,2758360.0,6269.0,440.0,2305836.0,6084.0,379.0,2258212.0,6038.0,374.0,3388830.0,6106.0,555.0,3725715.0,6713.0,555.0,2821272.0,6456.0,437.0,2430840.0,6465.0,376.0,2424485.0,6535.0,371.0,2828264.0,6472.0,437.0,3650789.9999999995,6578.0,555.0,3359970.0,6054.0,555.0,1633088.0,6004.0,272.0,1650756.0,5981.0,276.0,2621080.0,5957.0,440.0,3352755.0,6041.0,555.0,,-0.009847763686657407,-0.009847315467445217
2022-2-15,2753405.0588235296,6326.0,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2443716.0,6534.0,374.0,2744182.0,6323.0,434.0,2786080.0,6332.0,440.0,2328576.0,6144.0,379.0,2280652.0,6098.0,374.0,3422130.0,6166.0,555.0,3762344.9999999995,6779.0,555.0,2849240.0,6520.0,437.0,2454904.0,6529.0,376.0,2448600.0,6600.0,371.0,2856669.0,6537.0,437.0,3687419.9999999995,6644.0,555.0,3393270.0,6114.0,555.0,1649135.9999999998,6063.0,272.0,1667316.0,6041.0,276.0,2647040.0,6016.0,440.0,3386610.0,6102.0,555.0,,-0.004834625852370711,-0.004812052340323225
2022-1-15,2766781.411764706,6356.588235294118,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2455684.0,6566.0,374.0,2758070.0,6355.0,434.0,2799720.0,6363.0,440.0,2335777.0,6163.0,379.0,2291872.0,6128.0,374.0,3439335.0,6197.0,555.0,3781215.0,6813.0,555.0,2863224.0,6552.0,437.0,2466936.0,6561.0,376.0,2460472.0,6632.0,371.0,2870653.0,6569.0,437.0,3705734.9999999995,6677.0,555.0,3410475.0,6145.0,555.0,1657296.0,6093.0,272.0,1675320.0,6070.0,276.0,2660240.0,6046.0,440.0,3403260.0,6132.0,555.0,,-0.024524004912130137,-0.024526309138013458
2021-12-15,2836339.8235294116,6516.411764705882,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2517394.0,6731.0,374.0,2827075.9999999995,6514.0,434.0,2870560.0,6524.0,440.0,2394522.0,6318.0,379.0,2349468.0,6282.0,374.0,3525915.0,6353.0,555.0,3876120.0,6984.0,555.0,2935329.0,6717.0,437.0,2528976.0,6726.0,376.0,2522429.0,6799.0,371.0,2942758.0,6734.0,437.0,3798974.9999999995,6845.0,555.0,3495945.0,6299.0,555.0,1698912.0,6246.0,272.0,1717548.0,6223.0,276.0,2727120.0,6198.0,440.0,3488730.0,6286.0,555.0,,0.011700832272453221,0.011708083326483765
2021-11-15,2803536.117647059,6441.0,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2487100.0,6650.0,374.0,2793224.0,6436.0,434.0,2857800.0,6495.0,440.0,2365718.0,6242.0,379.0,2321418.0,6207.0,374.0,3483180.0,6276.0,555.0,3829500.0,6900.0,555.0,2899932.0,6636.0,437.0,2498520.0,6645.0,376.0,2492378.0,6718.0,371.0,2907361.0000000005,6653.0,437.0,3753465.0,6763.0,555.0,3453765.0000000005,6223.0,555.0,1678240.0,6170.0,272.0,1696848.0,6148.0,276.0,2694559.9999999995,6124.0,440.0,3447104.9999999995,6211.0,555.0,,-0.009980046139472454,-0.009972875226039846
2021-10-15,2831797.588235294,6505.882352941177,"YU NGA COURT(Block E),YI TUNG RD|裕雅苑E座,怡東路",2512158.0,6717.0,374.0,2821434.0,6501.0,434.0,2886840.0000000005,6561.0,440.0,2389595.0,6305.0,379.0,2344606.0,6269.0,374.0,3518145.0,6339.0,555.0,3868350.0,6970.0,555.0,2929211.0,6703.0,437.0,2523712.0,6712.0,376.0,2517235.0,6785.0,371.0,2936640.0,6720.0,437.0,3791205.0,6831.0,555.0,3488730.0,6286.0,555.0,1695104.0,6232.0,272.0,1713684.0,6209.0,276.0,2721840.0000000005,6186.0,440.0,3482070.0,6274.0,555.0,,-0.005643475769843365,-0.005637120483335867
