,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7665588.375,11083.125,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",7971388.0,10246.0,778.0,10080398.0,11114.0,907.0,9051860.0,9980.0,907.0,7983544.000000001,10328.0,773.0,7286247.000000001,11367.0,641.0,6623132.0,11764.0,563.0,5570353.0,12031.0,463.0,6757785.000000001,11835.0,571.0,,0.03257368380827996,0.03254920228252001
2022-11-15,7423768.875,10733.75,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",7716982.0,9919.0,778.0,9768390.0,10770.0,907.0,8762527.0,9661.0,907.0,7729227.0,9999.0,773.0,7054205.0,11005.0,641.0,6417074.0,11398.0,563.0,5395802.0,11654.0,463.0,6545944.000000001,11464.0,571.0,,-0.06009698337477376,-0.060359354824590206
2022-10-15,7898441.375,11423.25,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",8193117.999999999,10531.0,778.0,10382429.0,11447.0,907.0,9304913.0,10259.0,907.0,8223946.999999999,10639.0,773.0,7490084.999999999,11685.0,641.0,6818492.999999999,12111.0,563.0,5732403.0,12381.0,463.0,7042143.0,12333.0,571.0,,0.032984251990129554,0.03301870796360151
2022-9-15,7646236.0,11058.125,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",7937934.0,10203.0,778.0,10068607.0,11101.0,907.0,9014673.0,9939.0,907.0,7968084.0,10308.0,773.0,7257402.000000001,11322.0,641.0,6494768.0,11536.0,563.0,5605541.0,12107.0,463.0,6822879.0,11949.0,571.0,,-0.1063135679833569,-0.10630581484624402
2022-8-15,8555837.625,12373.5,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",8880870.0,11415.0,778.0,11270382.0,12426.0,907.0,10085840.0,11120.0,907.0,8915009.0,11533.0,773.0,8119546.999999999,12667.0,641.0,7270019.0,12913.0,563.0,6271335.0,13545.0,463.0,7633699.0,13369.0,571.0,,0.07343505973377695,0.0734479206202896
2022-7-15,7970521.875,11526.875,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",8271696.0,10632.0,778.0,10503967.0,11581.0,907.0,9393799.0,10357.0,907.0,8305112.0,10744.0,773.0,7563159.0,11799.0,641.0,6775142.0,12034.0,563.0,5841208.0,12616.0,463.0,7110092.0,12452.0,571.0,,-0.005785928323324585,-0.0058003514711114645
2022-6-15,8016907.125,11594.125,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",8318376.0,10692.0,778.0,10564736.0,11648.0,907.0,9448219.0,10417.0,907.0,8353038.0,10806.0,773.0,7606747.0,11867.0,641.0,6817930.0,12110.0,563.0,5875006.999999999,12689.0,463.0,7151204.000000001,12524.0,571.0,,-0.07302995843589077,-0.07324847128412137
2022-5-15,8648507.25,12510.5,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",8947000.0,11500.0,778.0,11363803.0,12529.0,907.0,10162028.0,11204.0,907.0,8985352.0,11624.0,773.0,8382357.0,13077.0,641.0,7337016.0,13032.0,563.0,6318561.0,13647.0,463.0,7691940.999999999,13471.0,571.0,,-0.008411213479909363,-0.008774883628800634
2022-4-15,8721868.75,12621.25,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",9015464.0,11588.0,778.0,11452689.0,12627.0,907.0,10239123.0,11289.0,907.0,9054922.0,11714.0,773.0,8447098.0,13178.0,641.0,7397257.0,13139.0,563.0,6417643.0,13861.0,463.0,7750753.999999999,13574.0,571.0,,0.03490213089282457,0.03520751312335957
2022-3-15,8427723.25,12192.0,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",8962560.0,11520.0,778.0,10962002.0,12086.0,907.0,9872695.0,10885.0,907.0,8730262.0,11294.0,773.0,8145187.0,12707.0,641.0,7136588.000000001,12676.0,563.0,6188921.0,13367.0,463.0,7423571.0,13001.0,571.0,,-0.00983974691105205,-0.009857167510938347
2022-2-15,8511474.0,12313.375,"LA ROSSA A(Block 7,Phase 3,COASTAL SKYLINE),12 TUNG CHUNG WATERFRONT RD|藍天海岸,3期,7座(影岸.紅 A),12 東涌海濱路",9052030.0,11635.0,778.0,11070842.0,12206.0,907.0,9969744.0,10992.0,907.0,8814519.0,11403.0,773.0,8226594.0,12834.0,641.0,7210904.000000001,12808.0,563.0,6250500.0,13500.0,463.0,7496659.0,13129.0,571.0,,-0.0013605426213794125,-0.0019149712247710227
