,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2307437.736842105,5590.736842105263,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2502280.0,5687.0,440.0,2375095.0,5435.0,437.0,2098005.0,5655.0,371.0,1992298.0,5327.0,374.0,2394480.0,5442.0,440.0,2391264.0,5472.0,437.0,1550923.0,5599.0,277.0,2921520.0,5264.0,555.0,3241200.0,5840.0,555.0,1578959.9999999998,5805.0,272.0,1588104.0000000002,5754.0,276.0,3170715.0,5713.0,555.0,3068595.0,5529.0,555.0,2422200.0,5505.0,440.0,2111604.0,5646.0,374.0,2112352.0,5648.0,374.0,2131052.0,5698.0,374.0,2129556.0,5694.0,374.0,2061114.0,5511.0,374.0,,0.032867889233900716,0.03287535369446637
2022-11-15,2234010.5263157897,5412.789473684211,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2422200.0,5505.0,440.0,2299494.0,5262.0,437.0,2030854.0,5474.0,371.0,1929091.9999999998,5158.0,374.0,2318360.0,5269.0,440.0,2315226.0,5298.0,437.0,1501617.0,5421.0,277.0,2828835.0,5097.0,555.0,3138525.0,5655.0,555.0,1528640.0,5620.0,272.0,1537596.0,5571.0,276.0,3069705.0,5531.0,555.0,2971470.0,5354.0,555.0,2344760.0,5329.0,440.0,2044658.0,5467.0,374.0,2045032.0,5468.0,374.0,2062984.0000000002,5516.0,374.0,2061488.0,5512.0,374.0,1995664.0,5336.0,374.0,,-0.05740625565648516,-0.05760155412401824
2022-10-15,2370067.210526316,5743.631578947368,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2571800.0,5845.0,440.0,2423602.0,5546.0,437.0,2156623.0,5813.0,371.0,2048398.0,5477.0,374.0,2461360.0,5594.0,440.0,2440645.0,5585.0,437.0,1606877.0,5801.0,277.0,3004214.9999999995,5413.0,555.0,3332775.0,6005.0,555.0,1623296.0000000002,5968.0,272.0,1632816.0,5916.0,276.0,3259515.0,5873.0,555.0,3155175.0000000005,5685.0,555.0,2471920.0,5618.0,440.0,2171444.0,5806.0,374.0,2171818.0,5807.0,374.0,2190892.0,5858.0,374.0,2189022.0,5853.0,374.0,2119084.0,5666.0,374.0,,0.03210602148828268,0.03210887699320941
2022-9-15,2296340.8421052634,5564.9473684210525,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2491720.0,5663.0,440.0,2348438.0,5374.0,437.0,2089472.0000000002,5632.0,371.0,1984443.9999999998,5306.0,374.0,2384800.0,5420.0,440.0,2364607.0,5411.0,437.0,1557016.9999999998,5621.0,277.0,2910975.0,5245.0,555.0,3228990.0,5818.0,555.0,1572704.0,5782.0,272.0,1582032.0,5732.0,276.0,3158505.0000000005,5691.0,555.0,3056940.0,5508.0,555.0,2394920.0,5443.0,440.0,2104124.0,5626.0,374.0,2104498.0,5627.0,374.0,2122450.0,5675.0,374.0,2120954.0,5671.0,374.0,2052886.0,5489.0,374.0,,-0.10622398708453462,-0.10622147083685551
2022-8-15,2569257.6315789474,6226.315789473684,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2787839.9999999995,6336.0,440.0,2627244.0,6012.0,437.0,2337671.0,6301.0,371.0,2220438.0,5937.0,374.0,2668160.0000000005,6064.0,440.0,2645598.0,6054.0,437.0,1741776.0,6288.0,277.0,3257295.0,5869.0,555.0,3612495.0,6509.0,555.0,1759568.0000000002,6469.0,272.0,1769988.0,6413.0,276.0,3533685.0,6367.0,555.0,3420465.0,6163.0,555.0,2679600.0000000005,6090.0,440.0,2354330.0,6295.0,374.0,2354704.0,6296.0,374.0,2374900.0,6350.0,374.0,2373030.0,6345.0,374.0,2297108.0,6142.0,374.0,,0.07355145179475087,0.0735514315531558
2022-7-15,2393231.947368421,5799.736842105263,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2596440.0,5901.0,440.0,2447637.0,5601.0,437.0,2177399.0,5869.0,371.0,2068219.9999999998,5530.0,374.0,2485560.0,5649.0,440.0,2464243.0,5639.0,437.0,1622389.0000000002,5857.0,277.0,3034740.0,5468.0,555.0,3364964.9999999995,6063.0,555.0,1639072.0,6026.0,272.0,1648548.0,5973.0,276.0,3291150.0,5930.0,555.0,3185700.0,5740.0,555.0,2496120.0,5673.0,440.0,2193136.0,5864.0,374.0,2193884.0,5866.0,374.0,2212210.0,5915.0,374.0,2210340.0,5910.0,374.0,2139654.0,5721.0,374.0,,-0.006044426887364729,-0.00607924667851234
2022-6-15,2407785.6315789474,5835.210526315789,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2611400.0,5935.0,440.0,2461621.0,5633.0,437.0,2202998.0,5938.0,371.0,2080188.0,5562.0,374.0,2500080.0,5682.0,440.0,2478664.0,5672.0,437.0,1631807.0,5891.0,277.0,3052500.0000000005,5500.0,555.0,3384390.0,6098.0,555.0,1648592.0,6061.0,272.0,1658208.0,6008.0,276.0,3310020.0,5964.0,555.0,3204015.0,5773.0,555.0,2510640.0,5706.0,440.0,2206226.0,5899.0,374.0,2206600.0,5900.0,374.0,2224926.0,5949.0,374.0,2223056.0,5944.0,374.0,2151996.0,5754.0,374.0,,-0.07030486237348199,-0.07030431100265833
2022-5-15,2589865.789473684,6276.473684210527,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2808960.0000000005,6384.0,440.0,2647783.0,6059.0,437.0,2369577.0,6387.0,371.0,2237268.0,5982.0,374.0,2688840.0,6111.0,440.0,2666137.0,6101.0,437.0,1755348.9999999998,6337.0,277.0,3283935.0,5917.0,555.0,3639690.0,6558.0,555.0,1773168.0,6519.0,272.0,1783512.0,6462.0,276.0,3560325.0,6415.0,555.0,3446550.0,6210.0,555.0,2700280.0,6137.0,440.0,2373404.0,6346.0,374.0,2373778.0,6347.0,374.0,2392852.0,6398.0,374.0,2391356.0,6394.0,374.0,2314686.0,6189.0,374.0,,-0.007674896078253335,-0.007672144788849589
2022-4-15,2609896.4736842103,6325.0,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2830520.0,6433.0,440.0,2668322.0,6106.0,437.0,2387756.0,6436.0,371.0,2254846.0,6029.0,374.0,2709520.0,6158.0,440.0,2686676.0,6148.0,437.0,1768922.0,6386.0,277.0,3309465.0000000005,5963.0,555.0,3667995.0,6609.0,555.0,1786767.9999999998,6569.0,272.0,1797312.0,6512.0,276.0,3588075.0,6465.0,555.0,3473190.0000000005,6258.0,555.0,2720960.0000000005,6184.0,440.0,2391730.0,6395.0,374.0,2392478.0,6397.0,374.0,2411552.0,6448.0,374.0,2409682.0,6443.0,374.0,2332264.0,6236.0,374.0,,0.03627791572609418,0.03631299368769625
2022-3-15,2518529.4736842103,6103.368421052632,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2729320.0,6203.0,440.0,2605394.0,5962.0,437.0,2302797.0,6207.0,371.0,2174062.0,5813.0,374.0,2613160.0,5939.0,440.0,2590973.0,5929.0,437.0,1705766.0,6158.0,277.0,3191805.0,5751.0,555.0,3537015.0,6373.0,555.0,1723120.0,6335.0,272.0,1733280.0,6280.0,276.0,3459870.0,6234.0,555.0,3348869.9999999995,6034.0,555.0,2624160.0,5964.0,440.0,2306832.0,6168.0,374.0,2307206.0,6169.0,374.0,2325532.0,6218.0,374.0,2323662.0,6213.0,374.0,2249236.0,6014.0,374.0,,-0.01042798563720293,-0.010394087829188825
2022-2-15,2545069.4210526315,6167.473684210527,"YU NGA COURT(Block A),YI TUNG RD|裕雅苑A座,怡東路",2756600.0,6265.0,440.0,2631177.0,6021.0,437.0,2325428.0,6268.0,371.0,2195754.0,5871.0,374.0,2639120.0,5998.0,440.0,2644723.9999999995,6052.0,437.0,1722663.0,6219.0,277.0,3223995.0,5809.0,555.0,3571980.0,6436.0,555.0,1740256.0,6398.0,272.0,1750392.0,6342.0,276.0,3494280.0,6296.0,555.0,3382170.0000000005,6094.0,555.0,2650120.0000000005,6023.0,440.0,2330020.0,6230.0,374.0,2330394.0,6231.0,374.0,2348720.0,6280.0,374.0,2346850.0,6275.0,374.0,2271676.0,6074.0,374.0,,-0.005027381010703658,-0.00511105073694218
