,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2341664.8421052634,5660.210526315789,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2435840.0,5536.0,440.0,2607579.0,5967.0,437.0,2182593.0,5883.0,371.0,2183038.0,5837.0,374.0,2599960.0,5909.0,440.0,2545525.0,5825.0,437.0,1615741.0,5833.0,277.0,3357195.0000000005,6049.0,555.0,3136860.0,5652.0,555.0,1474239.9999999998,5420.0,272.0,1547532.0,5607.0,276.0,3119655.0,5621.0,555.0,2972580.0,5356.0,555.0,2353120.0,5348.0,440.0,2002396.0000000002,5354.0,374.0,2042414.0,5461.0,374.0,2039795.9999999998,5454.0,374.0,2101880.0,5620.0,374.0,2173688.0,5812.0,374.0,,0.03291466496973694,0.032914893821374136
2022-11-15,2267045.789473684,5479.8421052631575,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2358400.0,5360.0,440.0,2524112.0,5776.0,437.0,2112845.0,5695.0,371.0,2113474.0,5651.0,374.0,2517240.0,5721.0,440.0,2464243.0,5639.0,437.0,1564219.0,5647.0,277.0,3250080.0000000005,5856.0,555.0,3036960.0000000005,5472.0,555.0,1427184.0,5247.0,272.0,1498128.0,5428.0,276.0,3019755.0,5441.0,555.0,2878230.0,5186.0,555.0,2278320.0,5178.0,440.0,1938816.0,5184.0,374.0,1977338.0,5287.0,374.0,1974720.0,5280.0,374.0,2034934.0,5441.0,374.0,2104872.0,5628.0,374.0,,-0.05823850626739879,-0.058241976916675764
2022-10-15,2407239.8421052634,5818.736842105263,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2504040.0,5691.0,440.0,2680558.0,6134.0,437.0,2243437.0,6047.0,371.0,2244374.0,6001.0,374.0,2672560.0,6074.0,440.0,2616756.0,5988.0,437.0,1660892.0,5996.0,277.0,3450990.0,6218.0,555.0,3224549.9999999995,5810.0,555.0,1515584.0,5572.0,272.0,1590864.0,5764.0,276.0,3206790.0,5778.0,555.0,3055830.0000000005,5506.0,555.0,2419560.0,5499.0,440.0,2058496.0000000002,5504.0,374.0,2099636.0,5614.0,374.0,2097017.9999999998,5607.0,374.0,2160598.0,5777.0,374.0,2235024.0,5976.0,374.0,,0.032100723969098466,0.03210508135963486
2022-9-15,2332369.1052631577,5637.736842105263,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2426160.0,5514.0,440.0,2597091.0,5943.0,437.0,2173689.0,5859.0,371.0,2174436.0,5814.0,374.0,2589400.0,5885.0,440.0,2535474.0,5802.0,437.0,1609370.0000000002,5810.0,277.0,3343875.0,6025.0,555.0,3124095.0000000005,5629.0,555.0,1468256.0000000002,5398.0,272.0,1541184.0,5584.0,276.0,3106890.0000000005,5598.0,555.0,2960925.0,5335.0,555.0,2344760.0,5329.0,440.0,1994542.0,5333.0,374.0,2034559.9999999998,5440.0,374.0,2031567.9999999998,5432.0,374.0,2093278.0,5597.0,374.0,2165460.0,5790.0,374.0,,-0.10621852088536687,-0.10621876225520877
2022-8-15,2609551.8421052634,6307.736842105263,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2714360.0,6169.0,440.0,2905613.0,6649.0,437.0,2431905.0,6555.0,371.0,2432870.0,6505.0,374.0,2897400.0,6585.0,440.0,2837004.0000000005,6492.0,437.0,1800500.0000000002,6500.0,277.0,3741254.9999999995,6741.0,555.0,3495390.0,6298.0,555.0,1642880.0,6040.0,272.0,1724448.0,6248.0,276.0,3475965.0,6263.0,555.0,3312795.0000000005,5969.0,555.0,2623720.0000000005,5963.0,440.0,2231658.0,5967.0,374.0,2276164.0,6086.0,374.0,2272798.0,6077.0,374.0,2341988.0,6262.0,374.0,2422772.0,6478.0,374.0,,0.07385075853436729,0.07387860432608728
2022-7-15,2430088.0,5873.789473684211,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2528240.0,5746.0,440.0,2706341.0,6193.0,437.0,2265326.0,6106.0,371.0,2266066.0,6059.0,374.0,2698520.0,6133.0,440.0,2642539.0,6047.0,437.0,1677235.0,6055.0,277.0,3484845.0,6279.0,555.0,3255630.0,5866.0,555.0,1530272.0,5626.0,272.0,1606320.0,5820.0,276.0,3237870.0,5834.0,555.0,3085800.0,5560.0,555.0,2444640.0,5556.0,440.0,2078692.0,5558.0,374.0,2120206.0,5669.0,374.0,2117214.0,5661.0,374.0,2169200.0,5800.0,374.0,2256716.0,6034.0,374.0,,-0.005765875365067008,-0.005763971171235283
2022-6-15,2444180.8421052634,5907.8421052631575,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2543200.0,5780.0,440.0,2722073.0,6229.0,437.0,2278311.0,6141.0,371.0,2279156.0,6094.0,374.0,2714360.0,6169.0,440.0,2657834.0,6082.0,437.0,1686653.0000000002,6089.0,277.0,3504825.0,6315.0,555.0,3274500.0,5900.0,555.0,1539248.0,5659.0,272.0,1615704.0,5854.0,276.0,3256740.0,5868.0,555.0,3103559.9999999995,5592.0,555.0,2459160.0,5589.0,440.0,2090660.0,5590.0,374.0,2132174.0,5701.0,374.0,2129556.0,5694.0,374.0,2181916.0,5834.0,374.0,2269806.0,6069.0,374.0,,-0.07027348345729367,-0.07027076275748978
2022-5-15,2628924.5263157897,6354.368421052632,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2735040.0,6216.0,440.0,2927900.0,6700.0,437.0,2450455.0,6605.0,371.0,2451570.0,6555.0,374.0,2919400.0,6635.0,440.0,2858854.0,6542.0,437.0,1814350.0,6550.0,277.0,3770115.0,6793.0,555.0,3522030.0,6346.0,555.0,1655392.0,6086.0,272.0,1737696.0,6296.0,276.0,3502605.0,6311.0,555.0,3338325.0,6015.0,555.0,2645280.0,6012.0,440.0,2248862.0,6013.0,374.0,2293368.0,6132.0,374.0,2290376.0,6124.0,374.0,2346850.0,6275.0,374.0,2441098.0,6527.0,374.0,,-0.00765881475924346,-0.007660378909300158
2022-4-15,2649214.3684210526,6403.421052631579,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2756160.0,6264.0,440.0,2950187.0000000005,6751.0,437.0,2469376.0,6656.0,371.0,2470644.0,6606.0,374.0,2941840.0,6686.0,440.0,2881141.0,6593.0,437.0,1828200.0000000002,6600.0,277.0,3798975.0,6845.0,555.0,3549225.0,6395.0,555.0,1668176.0,6133.0,272.0,1751220.0,6345.0,276.0,3529800.0,6360.0,555.0,3363855.0,6061.0,555.0,2665960.0,6059.0,440.0,2266066.0,6059.0,374.0,2311320.0,6180.0,374.0,2307954.0,6171.0,374.0,2364802.0,6323.0,374.0,2460172.0,6578.0,374.0,,0.03664247281677557,0.0366113421034695
2022-3-15,2555571.8947368423,6177.263157894737,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2658040.0,6041.0,440.0,2844870.0,6510.0,437.0,2381449.0,6419.0,371.0,2382380.0,6370.0,374.0,2837119.9999999995,6448.0,440.0,2778446.0,6358.0,437.0,1763104.9999999998,6365.0,277.0,3663555.0,6601.0,555.0,3422685.0,6167.0,555.0,1608607.9999999998,5914.0,272.0,1688568.0,6118.0,276.0,3403815.0,6133.0,555.0,3243975.0,5845.0,555.0,2571360.0,5844.0,440.0,2185282.0,5843.0,374.0,2228666.0,5959.0,374.0,2225674.0,5951.0,374.0,2280278.0,6097.0,374.0,2387990.0,6385.0,374.0,,-0.00968977461487841,-0.009611246593028255
2022-2-15,2580577.1052631577,6237.210526315789,"YU NGA COURT(Block D),YI TUNG RD|裕雅苑D座,怡東路",2684440.0,6101.0,440.0,2873275.0,6575.0,437.0,2405193.0,6483.0,371.0,2405942.0,6433.0,374.0,2865280.0,6512.0,440.0,2805977.0,6421.0,437.0,1780556.0,6428.0,277.0,3700185.0000000005,6667.0,555.0,3456540.0,6228.0,555.0,1624656.0,5973.0,272.0,1697676.0,6151.0,276.0,3437670.0,6194.0,555.0,3276165.0000000005,5903.0,555.0,2597320.0,5903.0,440.0,2206974.0,5901.0,374.0,2250732.0,6018.0,374.0,2247740.0,6010.0,374.0,2303092.0,6158.0,374.0,2411552.0,6448.0,374.0,,-0.00554742715256018,-0.005855459083092152
