,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2267488.263157895,5496.0,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2424840.0,5511.0,440.0,2390390.0,5470.0,437.0,2058679.0,5549.0,371.0,2031942.0,5433.0,374.0,2385240.0,5421.0,440.0,2372473.0,5429.0,437.0,1512973.9999999998,5462.0,277.0,3013095.0,5429.0,555.0,3178485.0,5727.0,555.0,1593920.0,5860.0,272.0,1611012.0,5837.0,276.0,3020310.0,5442.0,555.0,3017535.0000000005,5437.0,555.0,2316160.0,5264.0,440.0,2051015.9999999998,5484.0,374.0,2038300.0,5450.0,374.0,2010624.0,5376.0,374.0,2046528.0000000002,5472.0,374.0,2008754.0,5371.0,374.0,,0.03286286614797551,0.032868121977032816
2022-11-15,2195343.0,5321.105263157895,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2347840.0,5336.0,440.0,2314352.0,5296.0,437.0,1993011.9999999998,5372.0,371.0,1967240.0000000002,5260.0,374.0,2309560.0,5249.0,440.0,2297309.0,5257.0,437.0,1464776.0,5288.0,277.0,2917080.0,5256.0,555.0,3077475.0000000005,5545.0,555.0,1543055.9999999998,5673.0,272.0,1559676.0,5651.0,276.0,2924295.0,5269.0,555.0,2921520.0,5264.0,555.0,2242240.0,5096.0,440.0,1985940.0,5310.0,374.0,1973598.0,5277.0,374.0,1946670.0,5205.0,374.0,1981077.9999999998,5297.0,374.0,1944800.0,5200.0,374.0,,-0.058238694957312376,-0.05823777630806781
2022-10-15,2331103.4210526315,5650.1578947368425,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2493040.0,5666.0,440.0,2457251.0,5623.0,437.0,2116184.0,5704.0,371.0,2088789.9999999998,5585.0,374.0,2452560.0,5574.0,440.0,2439334.0,5582.0,437.0,1555632.0,5616.0,277.0,3097455.0000000005,5581.0,555.0,3267840.0,5888.0,555.0,1638528.0,6024.0,272.0,1655999.9999999998,6000.0,276.0,3105225.0,5595.0,555.0,3102450.0,5590.0,555.0,2380840.0,5411.0,440.0,2108612.0,5638.0,374.0,2095522.0,5603.0,374.0,2067098.0000000002,5527.0,374.0,2103750.0,5625.0,374.0,2064854.0,5521.0,374.0,,0.03206509068704455,0.03206175854179083
2022-9-15,2258678.6842105263,5474.631578947368,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2415600.0,5490.0,440.0,2381213.0,5449.0,437.0,2050517.0,5527.0,371.0,2023714.0,5411.0,374.0,2376440.0,5401.0,440.0,2363733.0,5409.0,437.0,1507157.0000000002,5441.0,277.0,3000885.0000000005,5407.0,555.0,3166275.0,5705.0,555.0,1587664.0,5837.0,272.0,1604664.0000000002,5814.0,276.0,3008655.0,5421.0,555.0,3005879.9999999995,5416.0,555.0,2306920.0,5243.0,440.0,2043162.0,5463.0,374.0,2030446.0,5429.0,374.0,2002770.0,5355.0,374.0,2038300.0000000002,5450.0,374.0,2000899.9999999998,5350.0,374.0,,-0.10617493108532494,-0.1061749187962947
2022-8-15,2526980.6842105263,6124.9473684210525,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2702479.9999999995,6142.0,440.0,2663952.0,6096.0,437.0,2293893.0,6183.0,371.0,2264196.0,6054.0,374.0,2659360.0,6044.0,440.0,2644724.0000000005,6052.0,437.0,1686376.0,6088.0,277.0,3357749.9999999995,6050.0,555.0,3542564.9999999995,6383.0,555.0,1776160.0,6530.0,272.0,1795380.0,6505.0,276.0,3365520.0,6064.0,555.0,3362745.0,6059.0,555.0,2581040.0,5866.0,440.0,2285514.0,6111.0,374.0,2271676.0,6074.0,374.0,2240634.0,5991.0,374.0,2280278.0,6097.0,374.0,2238390.0,5985.0,374.0,,0.07354341775432549,0.07354107857788605
2022-7-15,2353869.1052631577,5705.368421052632,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2517240.0,5721.0,440.0,2481286.0,5678.0,437.0,2136589.0,5759.0,371.0,2108986.0,5639.0,374.0,2477640.0,5631.0,440.0,2463806.0,5638.0,437.0,1570867.0,5671.0,277.0,3127425.0,5635.0,555.0,3299475.0,5945.0,555.0,1654576.0,6083.0,272.0,1672283.9999999998,6059.0,276.0,3135195.0,5649.0,555.0,3132420.0,5644.0,555.0,2404160.0,5464.0,440.0,2129182.0,5693.0,374.0,2115718.0,5657.0,374.0,2087294.0,5581.0,374.0,2124320.0,5680.0,374.0,2085050.0,5575.0,374.0,,-0.005762257791687375,-0.005759882601119037
2022-6-15,2367511.3157894737,5738.421052631579,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2531760.0,5754.0,440.0,2495707.0,5711.0,437.0,2149203.0,5793.0,371.0,2121328.0,5672.0,374.0,2492160.0,5664.0,440.0,2478227.0,5671.0,437.0,1580008.0,5704.0,277.0,3145740.0,5668.0,555.0,3318345.0,5979.0,555.0,1664096.0,6118.0,272.0,1681944.0,6094.0,276.0,3153510.0,5682.0,555.0,3150735.0,5677.0,555.0,2417800.0,5495.0,440.0,2141524.0,5726.0,374.0,2128060.0,5690.0,374.0,2099262.0,5613.0,374.0,2136288.0,5712.0,374.0,2097018.0,5607.0,374.0,,-0.0702764700267825,-0.07027312805382413
2022-5-15,2546468.1052631577,6172.1578947368425,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2723600.0,6190.0,440.0,2684490.9999999995,6143.0,437.0,2311330.0,6230.0,371.0,2281774.0,6101.0,374.0,2680920.0,6093.0,440.0,2665700.0,6100.0,437.0,1699395.0,6135.0,277.0,3383280.0,6096.0,555.0,3569205.0,6431.0,555.0,1789760.0,6580.0,272.0,1808904.0,6554.0,276.0,3391605.0,6111.0,555.0,3388830.0,6106.0,555.0,2600839.9999999995,5911.0,440.0,2303092.0,6158.0,374.0,2288880.0,6120.0,374.0,2257838.0,6037.0,374.0,2297856.0,6144.0,374.0,2255594.0,6031.0,374.0,,-0.00764516695186801,-0.007649672096467053
2022-4-15,2566086.263157895,6219.736842105263,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2744280.0,6237.0,440.0,2705030.0,6190.0,437.0,2329138.0,6278.0,371.0,2299352.0,6148.0,374.0,2702040.0,6141.0,440.0,2686239.0,6147.0,437.0,1712414.0,6182.0,277.0,3409365.0,6143.0,555.0,3596399.9999999995,6480.0,555.0,1803632.0,6631.0,272.0,1822980.0,6605.0,276.0,3417690.0000000005,6158.0,555.0,3414915.0,6153.0,555.0,2620639.9999999995,5956.0,440.0,2321044.0,6206.0,374.0,2306458.0,6167.0,374.0,2275416.0,6084.0,374.0,2315434.0,6191.0,374.0,2273172.0,6078.0,374.0,,0.03641377347048924,0.036132007645501396
2022-3-15,2475928.3684210526,6002.8421052631575,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2646600.0,6015.0,440.0,2608453.0,5969.0,437.0,2246034.0,6054.0,371.0,2217072.0,5928.0,374.0,2605680.0,5922.0,440.0,2590973.0,5929.0,437.0,1677789.0,6057.0,277.0,3287820.0,5924.0,555.0,3468194.9999999995,6249.0,555.0,1739168.0000000002,6394.0,272.0,1757844.0000000002,6369.0,276.0,3295590.0,5938.0,555.0,3292815.0,5933.0,555.0,2527360.0,5744.0,440.0,2238016.0,5984.0,374.0,2224178.0,5947.0,374.0,2194258.0,5867.0,374.0,2232780.0,5970.0,374.0,2192014.0,5861.0,374.0,,-0.009897772839050134,-0.009904943790963183
2022-2-15,2500679.5263157897,6062.894736842105,"YU NGA COURT(Block B),YI TUNG RD|裕雅苑B座,怡東路",2673000.0,6075.0,440.0,2634673.0,6029.0,437.0,2268665.0,6115.0,371.0,2239138.0,5987.0,374.0,2632080.0,5982.0,440.0,2616756.0,5988.0,437.0,1694686.0,6118.0,277.0,3320565.0,5983.0,555.0,3502604.9999999995,6311.0,555.0,1756576.0000000002,6458.0,272.0,1775508.0,6433.0,276.0,3328335.0,5997.0,555.0,3325560.0,5992.0,555.0,2552440.0,5801.0,440.0,2260456.0,6044.0,374.0,2246618.0,6007.0,374.0,2216324.0,5926.0,374.0,2255220.0,6030.0,374.0,2213706.0,5919.0,374.0,,-0.005041185755742972,-0.005044092624742036
