,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_18,npsf_18,nfa_18,lumpSum_19,npsf_19,nfa_19,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2285574.8421052634,5530.1578947368425,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2403720.0,5463.0,440.0,2400441.0,5493.0,437.0,2101715.0,5665.0,371.0,2072334.0,5541.0,374.0,2391840.0,5436.0,440.0,2405685.0,5505.0,437.0,1475579.0,5327.0,277.0,3000330.0000000005,5406.0,555.0,3191805.0,5751.0,555.0,1529184.0,5622.0,272.0,1529591.9999999998,5542.0,276.0,3111885.0,5607.0,555.0,2973690.0000000005,5358.0,555.0,2417360.0,5494.0,440.0,2089911.9999999998,5588.0,374.0,2059244.0,5506.0,374.0,2058496.0,5504.0,374.0,2084675.9999999998,5574.0,374.0,2128434.0,5691.0,374.0,,0.032927384641527224,0.032922417521922265
2022-11-15,2212715.8947368423,5353.894736842105,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2326720.0,5288.0,440.0,2323966.0,5318.0,437.0,2034564.0,5484.0,371.0,2006136.0,5364.0,374.0,2315720.0,5263.0,440.0,2328773.0,5329.0,437.0,1428766.0,5158.0,277.0,2904870.0,5234.0,555.0,3090240.0,5568.0,555.0,1480496.0,5443.0,272.0,1481016.0,5366.0,276.0,3012540.0000000005,5428.0,555.0,2878785.0,5187.0,555.0,2340360.0,5319.0,440.0,2023340.0,5410.0,374.0,1993420.0000000002,5330.0,374.0,1992672.0,5328.0,374.0,2018478.0,5397.0,374.0,2060740.0,5510.0,374.0,,-0.05824292432833433,-0.05825062953636506
2022-10-15,2349561.210526316,5685.0526315789475,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2470600.0,5615.0,440.0,2467739.0,5647.0,437.0,2160704.0,5824.0,371.0,2130304.0,5696.0,374.0,2458720.0,5588.0,440.0,2472983.0,5659.0,437.0,1517129.0,5477.0,277.0,3084135.0,5557.0,555.0,3281160.0000000005,5912.0,555.0,1572160.0,5780.0,272.0,1572648.0,5698.0,276.0,3199020.0,5764.0,555.0,3056384.9999999995,5507.0,555.0,2485120.0,5648.0,440.0,2148256.0,5744.0,374.0,2116840.0,5660.0,374.0,2116092.0,5658.0,374.0,2143394.0,5731.0,374.0,2188274.0,5851.0,374.0,,0.032092416363863174,0.03209532090543399
2022-9-15,2276502.736842105,5508.263157894737,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2394040.0,5441.0,440.0,2391264.0,5472.0,437.0,2093553.0,5643.0,371.0,2064106.0,5519.0,374.0,2382600.0,5415.0,440.0,2396071.0,5483.0,437.0,1469761.9999999998,5306.0,277.0,2988120.0,5384.0,555.0,3179040.0,5728.0,555.0,1523200.0,5600.0,272.0,1523520.0,5520.0,276.0,3099120.0,5584.0,555.0,2961480.0,5336.0,555.0,2407680.0,5472.0,440.0,2081684.0000000002,5566.0,374.0,2051390.0,5485.0,374.0,2050268.0000000002,5482.0,374.0,2076448.0000000002,5552.0,374.0,2120206.0,5669.0,374.0,,-0.10619134939909058,-0.10619091134246017
2022-8-15,2546968.789473684,6162.684210526316,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2678280.0,6087.0,440.0,2675314.0,6122.0,437.0,2342123.0,6313.0,371.0,2309450.0,6175.0,374.0,2665520.0,6058.0,440.0,2680558.0000000005,6134.0,437.0,1644549.0,5937.0,277.0,3343320.0,6024.0,555.0,3556995.0,6409.0,555.0,1704352.0,6266.0,272.0,1704576.0,6176.0,276.0,3467640.0,6248.0,555.0,3313349.9999999995,5970.0,555.0,2693680.0,6122.0,440.0,2328898.0,6227.0,374.0,2294864.0,6136.0,374.0,2293742.0,6133.0,374.0,2323288.0,6212.0,374.0,2371908.0,6342.0,374.0,,0.0733178946484978,0.07331359482276589
2022-7-15,2372986.4210526315,5741.736842105263,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2494800.0,5670.0,440.0,2492211.0,5703.0,437.0,2181851.0,5881.0,371.0,2151248.0,5752.0,374.0,2482920.0,5643.0,440.0,2501388.0,5724.0,437.0,1531810.0,5530.0,277.0,3114105.0,5611.0,555.0,3313350.0000000005,5970.0,555.0,1587392.0,5836.0,272.0,1587828.0,5753.0,276.0,3230100.0000000005,5820.0,555.0,3086355.0,5561.0,555.0,2509320.0,5703.0,440.0,2169200.0,5800.0,374.0,2137784.0,5716.0,374.0,2136662.0,5713.0,374.0,2168826.0,5799.0,374.0,2209592.0,5908.0,374.0,,-0.005748288347745323,-0.005750792898545409
2022-6-15,2386705.8947368423,5774.9473684210525,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2509320.0,5703.0,440.0,2506632.0,5736.0,437.0,2194465.0,5915.0,371.0,2163590.0,5785.0,374.0,2497440.0,5676.0,440.0,2515809.0,5757.0,437.0,1540674.0,5562.0,277.0,3132420.0,5644.0,555.0,3332220.0,6004.0,555.0,1596640.0,5870.0,272.0,1596936.0,5786.0,276.0,3248415.0,5853.0,555.0,3104115.0000000005,5593.0,555.0,2523840.0,5736.0,440.0,2181916.0,5834.0,374.0,2150126.0,5749.0,374.0,2149004.0,5746.0,374.0,2181542.0,5833.0,374.0,2222308.0,5942.0,374.0,,-0.07029240654736835,-0.0702931706490425
2022-5-15,2567157.5789473685,6211.578947368421,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2698960.0,6134.0,440.0,2696290.0000000005,6170.0,437.0,2360673.0,6363.0,371.0,2327028.0,6222.0,374.0,2686200.0,6105.0,440.0,2706341.0,6193.0,437.0,1657014.0,5982.0,277.0,3368850.0,6070.0,555.0,3584190.0,6458.0,555.0,1717408.0,6314.0,272.0,1717824.0,6224.0,276.0,3494279.9999999995,6296.0,555.0,3338880.0,6016.0,555.0,2714360.0,6169.0,440.0,2346850.0,6275.0,374.0,2312816.0,6184.0,374.0,2311320.0,6180.0,374.0,2346476.0,6274.0,374.0,2390234.0,6391.0,374.0,,-0.007641482975574432,-0.007643215700123718
2022-4-15,2586925.5263157897,6259.421052631579,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2719640.0,6181.0,440.0,2716829.0000000005,6217.0,437.0,2378852.0,6412.0,371.0,2344980.0,6270.0,374.0,2707320.0,6153.0,440.0,2726880.0,6240.0,437.0,1670032.9999999998,6029.0,277.0,3394934.9999999995,6117.0,555.0,3611940.0,6508.0,555.0,1730464.0,6362.0,272.0,1731071.9999999998,6272.0,276.0,3520919.9999999995,6344.0,555.0,3364410.0,6062.0,555.0,2735480.0,6217.0,440.0,2364802.0,6323.0,374.0,2330768.0,6232.0,374.0,2329272.0,6228.0,374.0,2364428.0,6322.0,374.0,2408560.0,6440.0,374.0,,0.03697425017523037,0.03697858537946441
2022-3-15,2494686.3684210526,6036.210526315789,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2622840.0,5961.0,440.0,2620252.0,5996.0,437.0,2293893.0,6183.0,371.0,2261204.0,6046.0,374.0,2610520.0,5933.0,440.0,2629866.0,6018.0,437.0,1610201.0,5813.0,277.0,3273945.0,5899.0,555.0,3483180.0,6276.0,555.0,1668992.0000000002,6136.0,272.0,1669247.9999999998,6048.0,276.0,3395490.0,6118.0,555.0,3244530.0,5846.0,555.0,2637800.0,5995.0,440.0,2280278.0,6097.0,374.0,2247740.0,6010.0,374.0,2246244.0,6006.0,374.0,2280278.0,6097.0,374.0,2322540.0,6210.0,374.0,,-0.009861953581055127,-0.009867824675605097
2022-2-15,2519533.8947368423,6096.368421052632,"YU NGA COURT(Block C),YI TUNG RD|裕雅苑C座,怡東路",2648800.0000000005,6020.0,440.0,2646472.0,6056.0,437.0,2316895.0,6245.0,371.0,2284018.0,6107.0,374.0,2636920.0,5993.0,440.0,2656086.0,6078.0,437.0,1626267.0,5871.0,277.0,3306134.9999999995,5957.0,555.0,3517590.0,6338.0,555.0,1685583.9999999998,6197.0,272.0,1686084.0,6109.0,276.0,3429345.0,6179.0,555.0,3276720.0,5904.0,555.0,2664200.0,6055.0,440.0,2303092.0,6158.0,374.0,2270180.0,6070.0,374.0,2268310.0,6065.0,374.0,2302718.0,6157.0,374.0,2345728.0,6272.0,374.0,,-0.004930744460722947,-0.004931059662385606
