,lumpSum_avg,npsf_avg,final_address,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4079366.0,7091.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4226232.0,7032.0,601.0,3932500.0,7150.0,550.0,,-0.07621086137250199,-0.07621156852527355
2022-11-15,4415906.0,7676.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4574812.0,7612.0,601.0,4257000.0,7740.0,550.0,,0.0780150673877511,0.07801418439716312
2022-10-15,4096330.5,7120.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4243661.0,7061.0,601.0,3949000.0,7180.0,550.0,,-0.03483650445798403,-0.03483564893256519
2022-9-15,4244183.0,7377.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4396916.0,7316.0,601.0,4091449.9999999995,7439.0,550.0,,-0.05131019276751325,-0.051308429241946896
2022-8-15,4473731.0,7776.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4634912.0,7712.0,601.0,4312550.0,7841.0,550.0,,-0.01332162069352616,-0.013322337118568783
2022-7-15,4534133.0,7881.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4697416.0,7816.0,601.0,4370850.0,7947.0,550.0,,0.0914692528962866,0.09146932557817467
2022-6-15,4154155.5,7221.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4303761.0,7161.0,601.0,4004550.0,7281.0,550.0,,-0.08548431303268156,-0.08548632218844987
2022-5-15,4542465.0,7896.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4705830.0,7830.0,601.0,4379100.0,7962.0,550.0,,-0.008725573516958574,-0.008725127110664754
2022-4-15,4582449.5,7965.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4747299.0,7899.0,601.0,4417600.0,8032.0,550.0,,0.14397434673227272,0.1439752980037341
2022-3-15,4005727.5,6963.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4149905.0,6905.0,601.0,3861550.0,7021.0,550.0,,-0.15389778977196455,-0.15389756364299167
2022-2-15,4734330.5,8229.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4904761.0,8161.0,601.0,4563900.0,8298.0,550.0,,0.00789977313193635,0.007899571341090095
2022-1-15,4697223.5,8165.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4866297.0,8097.0,601.0,4528150.0,8233.0,550.0,,-0.10823613057064851,-0.10823503713411975
2021-12-15,5267340.0,9156.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",5457080.0,9080.0,601.0,5077600.0,9232.0,550.0,,-0.008660159979914761,-0.008661758336942382
2021-11-15,5313354.5,9236.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",5504559.0,9159.0,601.0,5122150.0,9313.0,550.0,,0.06596024010892809,0.06595879739165555
2021-10-15,4984571.0,8664.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",5163792.0,8592.0,601.0,4805350.0,8737.0,550.0,,-0.01918682901489155,-0.01918723115236587
2021-9-15,5082080.0,8834.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",5264760.0,8760.0,601.0,4899400.0,8908.0,550.0,,0.059802623731364024,0.059804450842780854
2021-8-15,4795308.0,8335.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4967866.0,8266.0,601.0,4622750.0,8405.0,550.0,,0.09952378430173492,0.09952512861100127
2021-7-15,4361259.0,7581.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4518318.0,7518.0,601.0,4204200.0,7644.0,550.0,,-0.09948071968712269,-0.09948328086951352
2021-6-15,4843049.0,8418.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",5017148.0,8348.0,601.0,4668950.0,8489.0,550.0,,0.05686903914598518,0.056870252965915524
2021-5-15,4582449.5,7965.5,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",4747299.0,7899.0,601.0,4417600.0,8032.0,550.0,,-0.06519254797762153,-0.06519187888745448
2021-4-15,4902025.0,8521.0,"WING TAK BLDG - EAST WING,WATERLOO RD|榮德大廈 - 東冀,窩打老道",5078450.0,8450.0,601.0,4725600.0,8592.0,550.0,,0.13855984295293822,0.13856226616782474
