,A,ABCDEF,AF,B,C,CD,CF,D,E,EF,F
10.0,372,,1537,449,1105,,1293,797,348,1141,793
28.0,372,,1537,449,500,,1293,797,348,1141,793
56.0,372,,,449,500,,,,348,,
