,A,B,C,D,E,F,G,H
2.0,6920473,7986287,5102176,5091220,4969044,4974356,7986287,8069293
3.0,6970442,8021012,5375744,5452104,5341216,5410604,8021012,6873306
4.0,7013873,8059904,5117448,5479660,5395332,5008220,8059904,8143546
