,A,B,C,D,E,F,G
4.0,6651910,6467418,6399828,6226650,6251427,6647648,7612297
11.0,7026970,8121060,6794219,6696450,6720632,7065840,8096858
18.0,7445740,8676720,7243450,7052850,7632551,10441792,8535065
