,A,ABCDEF,AF,B,C,D,DE,E,F
2.0,16950912,,48040872,7354752,11520756,10478259,,8532572,16522308
3.0,17359386,,48268836,7889962,11268504,9830016,19332755,8743792,17935830
5.0,64915088,,48724764,7457856,11872224,9920646,,8824342,16752450
