,A,B,C,CD,CF,D,E,F,FG,FH,G,H,J,JK,K
22.0,818,557,526,1094,909,566,531,383,989,1227,606,844,833,1682,850
68.0,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,
