,A,ABCDEF,AF,B,C,CD,CF,D,E,EF,F
10.0,7733508,,43633893,9780118,26447070,,34380870,15313558,7405788,29060129,17468204
28.0,8548932,,47350359,9992944,11415500,,37309515,20773008,8020356,30754514,18935254
56.0,9398208,,,11909725,12686500,,,,9053916,,
