,A,B,C,D,E,F,G,H,J,K,L,M,N
9.0,27881700,20682784,8747360,6711824,13613295,7616820,12068810,9526452,8531965,6386360,5648643,10292076,6859050
22.0,20367834,23837830,9461740,6592803,14699979,8354980,13226415,10003296,8963941,6502288,5792514,10065600,7219410
33.0,33828130,25405164,9071660,6765675,13964947,8919400,13594715,10655046,9157979,6807760,6109194,11300500,7386390
