,1,2,3,4,5,6,7
6.0,2535552,2586624,2684928,2559680,3270624,3062220,2998200
16.0,2658432,2696064,2797056,2726120,3386490,3176300,3160536
26.0,2782080,2763264,2911104,2810860,3492465,3321660,3278640
