,A,AB,AC,AF,AK,B,C,D,E,F,G,GJ,H,J,K
9.0,547,1108,922,1110,1108,561,,799,563,563,799,1360,,561,561
24.0,547,1108,922,1110,1108,561,,799,563,563,799,1360,,561,561
38.0,547,1108,922,1110,1108,561,,799,563,563,799,1360,,561,561
