,A,B,C,D,E,F,G,H,J,K,L
10.0,752,738,465,558,585,752,654,466,332,334,585
21.0,752,738,465,557,585,752,654,466,332,334,585
31.0,752,738,465,557,585,752,654,466,332,334,585
