,A,B,BC,C,D,E,F,FG,G,H
5.0,22337,23069,23732,22097,25638,26140,23610,,23302,21134
12.0,34233,35156,24496,28042,26222,26427,23427,,23296,21921
20.0,35476,36432,25369,29037,27157,,24258,,24122,22701
