,A,B,BE,C,D,E,F,FG,G,H
2.0,25520,21226,34797,23056,23469,23987,22081,23189,21886,20767
3.0,22338,21660,34963,21572,24009,24567,22424,23297,22196,21379
5.0,22393,21691,35293,22065,23807,24496,22648,23514,22401,21193
