,A,B,C,D,E,F,G,H,J,K
9.0,21644,21203,19764,22322,21910,20887,21103,19174,21149,22117
20.0,22373,22133,21156,23592,22696,21779,22902,19977,22018,23102
30.0,22597,22683,21175,24359,23771,23291,22454,20972,23107,23814
