,1,2,3,4,5,6,7
4.0,2528256,2445696,2626944,2616300,3185373,3138120,2901984
10.0,2596224,2572416,2702592,2689260,3313485,3228280,3047448
19.0,2671104,2692224,2802048,2717380,3458082,3363520,3176496
