,A,B,C,D,E,F,G,H,J,K
9.0,6030980,6193924,5718720,5464844,5064250,5964310,5960680,5763120,5460004,5006927
23.0,6383210,6662179,6043136,5492916,5370691,6104730,6069645,6186856,5520988,5066405
38.0,6627470,7126311,6465824,6154060,5441375,7702450,7238221,6702820,6028704,5606879
