,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7221600.0,16992.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7221600.0,16992.0,425.0,,,546.0,,0.05941766943076243,0.05941766943076243
2020-11-15,6816575.0,16039.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6816575.0,16039.0,425.0,,,546.0,,0.05415708182714418,0.05415708182714418
2020-10-15,6466375.0,15215.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6466375.0,15215.0,425.0,,,546.0,,-0.06346177520620455,-0.06346177520620455
2020-9-15,6904550.0,16246.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6904550.0,16246.0,425.0,,,546.0,,0.04167735316747878,0.04167735316747878
2020-8-15,6628300.0,15596.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6628300.0,15596.0,425.0,,,546.0,,0.018281535648994485,0.018281535648994485
2020-7-15,6509300.0,15316.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6509300.0,15316.0,425.0,,,546.0,,-0.17758525953007653,-0.06048337627284994
2020-6-15,7914863.0,16302.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6926650.0,16298.0,425.0,8903076.0,16306.0,546.0,,-0.005793566638200742,-0.005793742757821518
2020-5-15,7960985.5,16397.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6967025.0,16393.0,425.0,8954946.0,16401.0,546.0,,0.04499251629891354,0.04499394557389591
2020-4-15,7618222.5,15691.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",6666975.0,15687.0,425.0,8569470.0,15695.0,546.0,,-0.08794211606573332,-0.0879446640316206
2020-3-15,8352784.0,17204.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7310000.0,17200.0,425.0,9395568.0,17208.0,546.0,,-0.017026140625737374,-0.017026625528510975
2020-2-15,8497463.0,17502.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7436650.0,17498.0,425.0,9558276.0,17506.0,546.0,,-0.04613654714407156,-0.04613456140828953
2020-1-15,8908469.0,18348.5,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7796199.999999999,18344.0,425.0,10020738.0,18353.0,546.0,,0.11293704965776619,0.11294089103205662
2019-12-15,8004468.0,16486.5,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7004850.0,16482.0,425.0,9004086.0,16491.0,546.0,,-0.09746477863218317,-0.09747084907209724
2019-11-15,8868870.5,18267.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7761774.999999999,18263.0,425.0,9975966.0,18271.0,546.0,,0.09995484897848361,0.09995784909977723
2019-10-15,8062940.5,16607.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",7056275.0,16603.0,425.0,9069606.0,16611.0,546.0,,-0.19981690826244514,-0.19981690276573194
2019-9-15,10076369.5,20754.0,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",8818325.0,20749.0,425.0,11334414.0,20759.0,546.0,,,
2019-8-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-7-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-6-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-5-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-4-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-3-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-2-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2019-1-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-12-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-11-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-10-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-9-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-8-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-7-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-6-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-5-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-4-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-3-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-2-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2018-1-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-12-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-11-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-10-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-9-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-8-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-7-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-6-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-5-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-4-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-3-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-2-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2017-1-15,,,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",,,425.0,,,546.0,,,
2016-12-15,2234058.5,4601.5,"PO WING BLDG,PERCIVAL ST|寶榮大樓,波斯富街",1955425.0,4601.0,425.0,2512692.0,4602.0,546.0,,-0.014984280504320102,-0.014984480359627517
