,A,B,C,E,F,G,H,I,J
5.0,4529328,4937416,3764451,4343262,4295900,4850219,3821406,4618752,4140000
8.0,4640961,5030212,3839571,4428228,4387594,4939352,3895818,4706440,4222455
11.0,4733163,5174004,3914691,4513194,4493006,5151201,3970230,4796844,4269375
