,A,B,C,D,E,F,G,H
3.0,,3853960,7951590,5031360,5272364,,3808410,3969810
6.0,,3942880,8104760,3841200,4025898,,3883600,4048650
9.0,,4019088,8257400,4103826,4103826,,2582800,4781378
