,A,B,C,D,E,F,G,H,J
8.0,17046,17368,18273,17937,17445,16795,16856,17352,18238
18.0,19021,18713,19880,19135,18617,17946,19581,17996,19867
28.0,20328,19987,21163,20330,19784,19083,19407,19160,20452
