,A,B,C,D,E,F,G,H
3.0,14887,14340,13833,16037,15030,15404,14779,14805
7.0,15244,14697,14187,15100,15401,16269,15134,15160
11.0,15603,15057,14762,15455,15706,15848,15490,15517
