,1,10,11,12,13,14,16,6,7,8,9
3.0,9001,8880,8982,8888,8969,8935,9001,9105,8935,9001,9001
8.0,9290,9165,9165,9174,9257,9222,9290,9424,9221,9290,9290
12.0,9521,9393,9393,9407,9487,9452,9521,9680,9451,9521,9521
