,A,B,C,D,E,F,G,H,I,J,K,L,M,N
5.0,2782650,4180266,3850000,4085282,4277385,4227615,4303000,4372875,4258170,4258170,4065316,3930080,4206888,2703428
8.0,2837640,4225248,3929520,4169318,4417245,4314240,4388800,4462575,4345425,4345425,4149054,4030040,4393854,2754976
10.0,2873520,4276044,3979360,4205972,4421025,4149810,4445025,4519775,4401180,4401180,4187198,4121329,4330818,2789472
