,AB,B,C,CDE,D,E,F
4.0,10060516,3399701,5224444,,3677568,7406828,3512486
8.0,10320424,3499001,5349324,,3782016,5353299,3490410
11.0,10515892,3574138,5439862,,4354560,4972590,3566310
