,A,B,C,D,E,F,G,H,I,J,K
3.0,11783,10853,11757,11757,10853,11801,12353,11771,12766,9773,11277
6.0,11997,11962,11971,11971,11962,12014,12706,11988,12917,10072,11431
9.0,12846,12803,12814,12814,12803,12867,12840,12217,13302,10261,12051
