,A,B,C,D,E,F,G,H,I,J
4.0,13983,14255,14299,14402,13981,13452,13980,14234,14169,13885
8.0,14343,14979,14659,14770,14349,13766,14285,14595,14399,14242
11.0,14619,14898,14943,15054,14625,14037,14545,14880,14814,14517
