,A,A & B,B,C,D,D3,E,F,G,G3,H,I,J
3.0,750,,650,660,780,,350,410,600,183,580,,
6.0,750,,650,660,780,,350,410,600,183,580,,
8.0,750,,650,660,780,,350,410,600,183,580,,
