,A,B,C,D,E,G,H,I,J
3.0,8622,8606,8578,8633,8606,8591,8905,8897,8974
6.0,8783,8767,8763,8796,8767,8751,9056,8725,9061
9.0,8948,8932,8929,8961,8932,8915,9228,8889,8812
