,C,D,E,F,G,H,PORTION B,PORTION C,PORTION E,PORTION H
2.0,542,542,363,363,363,363,510,542,383,383
5.0,542,542,383,363,380,363,510,542,383,383
8.0,542,521,363,363,380,363,510,542,383,383
