,A1-B,A2,A3,A5,B1,B2,B3,B4,B5,PORTION B2
3.0,,680,365,,742,759,417,428,815,586
6.0,,680,365,,742,759,417,428,815,586
9.0,,795,365,,742,759,417,428,815,586
